stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3,8,216,49,0,57,0,4,0,19,10,1,2,2,13,0,0,15,4,86,2,0,61,560,63,8,14,20,0,78,1,89,15,6,110,217,0,0,12,0,2
 24-34,0,0.82,7.39,105.89,6.57,0,141.19,1.64,9.03,4.93,32.83,6.57,1.64,15.6,6.57,47.61,3.28,4.1,13.13,32.01,180.59,10.67,3.28,94.4,1301.88,30.37,34.48,22.16,0,0.82,182.23,0,0,14.78,5.75,34.48,386.62,0,0,83.73,0,5.75
 36-46,0,1.61,0,51.56,4.03,0,218.34,3.22,6.45,5.64,65.26,2.42,0.81,8.06,3.22,20.14,1.61,4.83,7.25,42.7,192.55,7.25,8.06,66.87,1501.77,26.59,29,6.45,0,0.81,119.24,0.81,0,10.47,5.64,0.81,368.19,0,1.61,58.01,0,23.36
 48-58,0,2.87,0,41.89,3.44,0,477.98,13.77,17.79,10.9,117.63,4.02,3.44,7.46,4.59,9.18,5.74,4.59,9.75,45.9,284.03,5.16,12.05,37.3,1383.44,16.07,18.36,14.92,0,0.57,98.12,0,0,3.44,5.74,0,301.25,0,4.59,36.15,0,28.69
 60-70,0,0,0,57.91,2.94,0,985.45,7.85,17.67,8.83,182.56,9.82,0.98,7.85,5.89,8.83,14.72,6.87,13.74,23.56,331.75,4.91,24.54,44.17,1544.92,10.8,19.63,11.78,0,11.78,102.08,0,0,8.83,6.87,0,252.25,3.93,9.82,45.15,7.85,22.58
 72-82,0,6.87,1.96,64.79,21.6,1.96,1136.76,1.96,16.69,16.69,214,42.21,0.98,9.82,17.67,9.82,12.76,14.72,24.54,42.21,501.63,10.8,40.25,54.97,1435.19,9.82,24.54,35.34,0,11.78,102.09,0,0,19.63,4.91,0,144.3,6.87,29.45,93.26,33.38,30.43
 84-94,0,9.56,1.06,139.13,19.12,1.06,768.92,5.31,32.92,8.5,140.19,70.09,1.06,9.56,33.99,30.8,20.18,4.25,141.25,55.23,298.43,13.81,36.11,35.05,764.67,8.5,30.8,30.8,0,4.25,271.88,0,0,30.8,7.43,0,64.78,11.68,19.12,70.09,30.8,20.18
 96-106,0,8.74,1.09,125.68,32.79,3.28,739.86,19.67,33.88,6.56,147.53,72.13,1.09,14.21,33.88,33.88,16.39,17.49,203.27,50.27,277.58,9.84,31.69,32.79,691.77,13.11,41.53,45.9,0,18.58,225.13,2.19,0,22.95,9.84,0,54.64,16.39,17.49,74.31,40.44,28.41
108-118,0.77,11.49,0.77,117.19,12.26,4.6,579.07,16.85,36,13.02,143.24,69.7,0.77,4.6,36,29.11,26.04,12.26,367.66,57.45,231.32,9.19,18.38,24.51,788.18,24.51,16.85,36,0,13.02,146.3,0,0,18.38,9.96,0,32.17,24.51,12.26,65.87,21.45,26.81
120,0,9.8,0,148.94,15.68,3.92,470.35,11.76,31.36,11.76,152.86,66.63,0,9.8,45.08,29.4,17.64,9.8,201.86,25.48,231.25,7.84,23.52,27.44,946.58,17.64,27.44,33.32,0,13.72,103.87,1.96,0,23.52,7.84,0,29.4,11.76,15.68,88.19,21.56,7.84
