stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,4,31,0,3,0,0,0,0,0,0,1,0,0,0,0,13,0,0,6,21,1,0,1,0,0,0,0,2,0,0,12,0,1
 24-34,0,22.16,9.85,0,3.28,0,0,0,0,0,13.13,2.46,0.82,0.82,0,1.64,60.74,0,0,13.13,46.79,0.82,0,4.93,0,0,1.64,0,7.39,0,0,81.26,0,0
 36-46,0,5.64,0.81,0,2.42,0,0,0,1.61,0,13.7,2.42,0,0,0,0,125.68,0,0,9.67,21.75,0,0,0.81,0,0,0,0,3.22,0,0.81,67.68,0,0
 48-58,0,1.72,1.15,0,7.46,0,0.57,1.72,3.44,0,10.33,2.87,0,0,0,0,213.46,0,2.3,8.61,13.2,0,0,3.44,0,0,0,0,4.02,0,0,68.86,0.57,0
 60-70,0,0.98,0.98,0,3.93,0,0.98,2.94,7.85,2.94,6.87,3.93,0,0,0,0.98,403.41,0,3.93,13.74,17.67,0,0,8.83,0,2.94,0,0,0.98,0,6.87,71.65,1.96,0
 72-82,0,0.98,0,0,27.49,0.98,0,6.87,23.56,9.82,15.71,11.78,0,0,0.98,0,572.31,0,11.78,11.78,21.6,0,0,5.89,0,0.98,0.98,0,0,0,4.91,140.38,1.96,0.98
 84-94,0,4.25,2.12,0,27.61,0,0,5.31,8.5,11.68,8.5,10.62,0,0,0,1.06,349.41,0,5.31,10.62,5.31,0,1.06,4.25,0,2.12,1.06,0,2.12,0,5.31,118.95,6.37,0
 96-106,0,2.19,6.56,1.09,13.11,1.09,2.19,6.56,8.74,15.3,16.39,13.11,0,0,0,1.09,346.43,1.09,4.37,2.19,20.76,0,0,9.84,0,4.37,0,0,2.19,0,12.02,153,3.28,0
108-118,0,7.66,2.3,0.77,9.96,0,1.53,3.83,10.72,13.79,7.66,10.72,0,0,0,0.77,270.38,0,8.43,3.06,22.98,0,0.77,9.19,0,1.53,0,0.77,0,1.53,3.83,104.17,0.77,0
120,0,5.88,3.92,0,5.88,0,1.96,1.96,21.56,5.88,5.88,17.64,0,0,0,0,229.29,1.96,9.8,1.96,17.64,0,0,5.88,0,0,3.92,0,0,0,5.88,107.79,3.92,0
