stage,epidermis,eye,fin_epithelia,glial,ionocyte,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord
 14-21,1,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0
 24-34,0,1.64,0,0,0,0,0,0.82,0,0,5.75,0,0,0,0,0.82
 36-46,0.81,2.42,0,0,0,0,0,0,0,0,4.83,0,0,0,0,5.64
 48-58,0,1.72,0.57,1.72,0,0,0,0.57,0,0,5.16,0,0,0,0,1.72
 60-70,0.98,3.93,0,0,1.96,0,0,0.98,0.98,0.98,6.87,1.96,0,0,0,0.98
 72-82,0,3.93,0,0.98,0,0,0,0,0,0,2.94,0.98,0,0,0,0
 84-94,0,2.12,0,0,0,0,0,0,0,0,2.12,1.06,0,0,0,1.06
 96-106,0,0,0,1.09,0,0,1.09,1.09,0,0,1.09,1.09,0,0,0,0
108-118,0,0,0,0,0,0.77,0,1.53,0,0,3.06,2.3,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0
