stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,22.03,0,0,18.88,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,31,5,0,3,0,1,0,1,1,0,0,8,0,1,0,0,3,1,0,1,42,12,0,0,0,0,45,1,9,3,2,6,98,0,0,0,0,0
 24-34,0,0,0.82,2.46,11.49,0.82,0,22.16,0,1.64,2.46,2.46,1.64,0,0,14.78,0.82,0,0,8.21,7.39,1.64,0,8.21,73.88,6.57,0.82,1.64,0,0,74.7,0,0,4.1,2.46,4.93,55.82,0,0,2.46,0,2.46
 36-46,0,0,0,0,9.67,0,0,22.56,0.81,1.61,5.64,5.64,4.03,0,0,5.64,0,0.81,0,11.28,21.75,0.81,0.81,1.61,111.18,4.83,1.61,1.61,0,0,140.19,0,0,6.45,5.64,0,22.56,0,0,0.81,0,7.25
 48-58,0,0,0.57,0,9.75,0.57,0,28.12,0.57,2.3,4.02,8.61,1.15,0,0.57,2.3,1.72,1.72,0,9.18,24.67,0.57,2.3,2.87,97.55,5.74,1.15,1.15,0,0,121.65,0,0,3.44,1.72,0,22.95,0,0,0.57,0,10.33
 60-70,0,0,0.98,0,21.59,0,0,23.56,0,1.96,2.94,11.78,3.93,0,0,4.91,4.91,1.96,0,2.94,30.43,4.91,1.96,2.94,109.93,2.94,0,2.94,0,0.98,84.41,0,0,3.93,4.91,0,20.61,0,0.98,0,0,0.98
 72-82,0,0,8.83,0,28.47,0,0,46.14,0.98,4.91,2.94,43.19,4.91,0,1.96,6.87,0,4.91,1.96,9.82,58.9,5.89,8.83,2.94,151.18,2.94,1.96,3.93,0,0.98,134.49,0,0,2.94,1.96,0,15.71,8.83,0,1.96,7.85,4.91
 84-94,0,0,1.06,0,100.89,0,0,57.35,3.19,21.24,5.31,25.49,15.93,0,2.12,19.12,4.25,1.06,2.12,14.87,40.36,15.93,4.25,3.19,91.34,5.31,2.12,16.99,0,0,681.83,0,0,6.37,6.37,0,22.3,13.81,5.31,1.06,13.81,7.43
 96-106,0,0,3.28,0,114.75,0,0,63.39,1.09,13.11,6.56,50.27,25.14,0,1.09,26.23,3.28,3.28,8.74,8.74,45.9,13.11,4.37,3.28,93.98,5.46,3.28,18.58,0,2.19,392.33,0,0,6.56,3.28,0,7.65,27.32,2.19,4.37,16.39,12.02
108-118,0,0,5.36,1.53,162.38,0,2.3,54.38,3.83,26.81,5.36,42.89,36.77,0,2.3,45.96,4.6,3.83,22.21,17.62,44.43,23.74,2.3,0.77,122.55,0.77,0,15.32,0,2.3,592.09,0,0,6.13,6.89,0,2.3,60.51,2.3,3.06,11.49,19.15
120,0,0,3.92,0,66.63,0,1.96,31.36,0,13.72,1.96,43.12,9.8,1.96,7.84,15.68,5.88,0,3.92,7.84,21.56,11.76,5.88,3.92,99.95,1.96,11.76,13.72,0,0,211.66,0,0,3.92,0,0,5.88,15.68,3.92,1.96,25.48,1.96
