stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,26.36,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,24.52,484.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,18.39,6.13,0,0,0,0,0,0,0
  7-9,5.26,7.89,2.63,0,0,10.51,0,0,0,13.14,0,0,0,0,0,0,0,178.75,2.63,0,63.09,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,28.32,0,0,0,3.15,0,0,0,0,0,0,0,103.85,0,0,44.06,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,3,1,5,0,2,0,0,0,0,0,0,3,0,8,49,0,0,0,0,4,2,0,2,12,1,0
 24-34,0,0,0,0.82,0,5.75,0,1.64,0,0,0,0,0,0.82,10.67,0,1.64,55.82,0.82,0.82,0,0,0,0.82,0,0.82,15.6,1.64,0
 36-46,0,0,0,2.42,0,8.06,0,0,0,0,0,0,0,0,7.25,0.81,0,30.62,0,0,0,0,0,0,0.81,0,9.67,1.61,0
 48-58,0,0,0,0,0,14.92,0.57,4.59,0,0,0,0,0.57,0,5.16,0.57,1.15,18.36,0,0,0,0,0,0,0,0,5.74,0.57,0
 60-70,0,0,0,2.94,0,8.83,0,7.85,0,0,0,0,0,0,4.91,0.98,0.98,11.78,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,1.96,1.96,2.94,0,0,0,0,0,0,9.82,0,1.96,10.8,0,0.98,0,0,0,0,0,0,0.98,1.96,0
 84-94,0,0,0,2.12,0,4.25,0,1.06,0,0,0,0,0,0,6.37,0,0,7.43,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.19,1.09,2.19,0,0,1.09,0,1.09,0,1.09,0,0,4.37,0,0,0,1.09,0,0,0,0,1.09,0,0
108-118,0,0,0,2.3,0,1.53,0,0.77,0.77,0,0,1.53,0.77,0,3.06,0,0,4.6,0,0.77,0,0,0,0,0,0,0,0,0.77
120,1.96,0,0,0,1.96,1.96,0,1.96,0,0,0,0,0,0,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0
