stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,474.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,760.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,7.89,18.4,0,0,23.66,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,304.93,15.77,0,0,126.18,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,15.73,0,0,31.47,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,261.2,12.59,0,0,122.73,0,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,10,3,5,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,6,77,0,0,3,2,0,2,10,1,0,7,36,0,0,0,0,0
 24-34,0,0.82,0,4.93,0.82,12.31,0,0,0,1.64,0,0,0,0,0.82,0,0.82,0,0.82,22.16,0,0.82,5.75,137.9,0,1.64,4.93,0,0,3.28,0,2.46,0.82,6.57,29.55,0,0,2.46,0,0
 36-46,0,0,0,0.81,0,23.36,0,0,0,5.64,0,0,0.81,0,0,0.81,0,0,0,9.67,0.81,0.81,4.03,124.07,0,0,2.42,0,0,4.83,0,0.81,0.81,0,32.23,0,0,3.22,0,0
 48-58,0,0,0,2.87,0,28.69,0,0.57,1.15,11.48,0,0,0.57,0,0,0.57,1.72,0,1.15,24.1,0.57,1.72,4.59,94.1,0,1.72,1.15,0,0,1.72,0,0.57,0,0,18.36,0,0,0.57,0,0.57
 60-70,0,0,0,2.94,0.98,55.95,0,0,0,12.76,0,0,0.98,0.98,0,0,0,0,0,27.48,0.98,0,2.94,91.28,0.98,0.98,0,0,0,1.96,0,0,0,0,15.7,0,0,1.96,0,0
 72-82,0,0,0,3.93,0,39.27,0,0,1.96,15.71,0.98,0,0,0.98,0.98,0,0,0.98,0,30.43,0,0,2.94,66.75,0,1.96,2.94,0,1.96,1.96,0,0,0,0,4.91,0,0.98,2.94,1.96,0
 84-94,0,0,0,4.25,0,23.36,2.12,0,1.06,5.31,0,0,0,2.12,3.19,2.12,0,0,0,14.87,0,0,3.19,25.49,1.06,0,1.06,0,0,4.25,0,0,1.06,0,2.12,1.06,4.25,3.19,1.06,0
 96-106,0,0,0,2.19,0,17.49,0,1.09,0,8.74,2.19,0,0,1.09,1.09,1.09,1.09,0,0,12.02,1.09,2.19,0,18.58,0,0,1.09,0,0,1.09,0,0,0,0,2.19,0,0,0,0,0
108-118,0,0,0,2.3,0,9.19,0,1.53,0.77,5.36,0,0,0,0,0,0.77,0,0,0.77,6.89,0,1.53,2.3,29.11,0,0.77,0.77,0,1.53,1.53,0,0.77,0,0,0.77,0.77,0,0.77,0,0
120,0,0,0,3.92,0,15.68,0,0,0,0,5.88,0,0,0,0,0,0,0,0,9.8,0,0,5.88,25.48,0,0,0,0,0,3.92,0,0,0,0,0,0,0,1.96,1.96,0
