stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,487.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,2.63,0,0,0,10.51,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,73.6,5.26,0,0,21.03,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,0,28.32,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,107,18.88,0,0,40.91,0,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,19,5,0,22,0,0,0,8,0,0,1,0,1,0,0,0,0,8,0,3,133,1,1,0,4,0,0,0,35,3,0,21,39,0,0,0,0,0
 24-34,0,0,0,1.64,9.03,1.64,0,33.66,0,0,0.82,5.75,0.82,0,0,0,0,0,0,0.82,0,18.88,0,10.67,168.28,0.82,1.64,4.93,0,0,3.28,0,0,0.82,0,6.57,35.3,0,0,4.1,0,1.64
 36-46,0,0,0,0,2.42,0.81,0,34.64,0.81,0,0,6.45,0,0,0,0,0,0.81,0.81,0,0,13.7,1.61,5.64,112.79,0,3.22,1.61,0,0,2.42,0,0,0,0,0,32.23,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,0,45.33,0.57,0.57,1.15,9.18,0,0,0,0,0,0.57,0,0,0.57,23.53,0.57,5.74,79.19,0,1.72,2.3,0,0,1.15,0,0,0.57,0,0,21.23,0,0.57,1.72,0,0.57
 60-70,0,0,0,0,4.91,0,0,150.17,0,0,1.96,12.76,0.98,0,0,0,0.98,1.96,0,0,0,24.54,2.94,7.85,42.21,0,0.98,0.98,0,0,3.93,0,0,2.94,0,0,13.74,0,1.96,0.98,0,1.96
 72-82,0,0,0.98,0,8.83,0,0,369.1,0,0,1.96,24.54,2.94,0,3.93,1.96,1.96,0.98,0,0,0.98,58.9,1.96,4.91,50.06,0,1.96,2.94,0,0,2.94,0,0,0.98,0,0,4.91,0,0,2.94,2.94,0
 84-94,0,0,0,0,8.5,2.12,0,377.02,1.06,1.06,3.19,10.62,1.06,0,0,4.25,0,0,1.06,0,0,33.99,1.06,8.5,30.8,0,4.25,3.19,0,0,9.56,0,0,0,0,0,7.43,0,1.06,1.06,1.06,2.12
 96-106,0,0,1.09,0,14.21,1.09,1.09,336.6,0,0,5.46,13.11,3.28,0,1.09,7.65,2.19,2.19,0,3.28,1.09,37.16,0,9.84,33.88,1.09,3.28,6.56,0,0,7.65,0,0,0,1.09,0,2.19,0,1.09,3.28,0,1.09
108-118,0,0,0,0,16.09,1.53,0.77,232.85,0.77,1.53,3.06,16.85,2.3,0,0.77,0.77,0,0.77,0.77,0.77,0,29.87,0.77,13.79,50.55,0,3.06,3.06,0,0.77,4.6,0.77,0,0,0,0,3.83,0.77,0.77,4.6,0,1.53
120,0,0,0,0,15.68,3.92,0,188.14,0,3.92,1.96,7.84,1.96,0,0,5.88,1.96,0,0,1.96,0,31.36,1.96,13.72,56.83,0,0,0,0,0,1.96,0,0,5.88,0,0,0,0,3.92,1.96,5.88,0
