stage,axial,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,11,5,1,0,0,0,0,2,0,0,0,0,0,90,0,0,53,15,0,0,0,0,1,2,1,3,0,0,0,1,0,0
 24-34,0,9.03,1.64,0.82,0,0,0,0,0,2.46,0,0,0,0,279.09,0,5.75,59.92,45.97,0,0.82,0,3.28,0,0.82,0.82,0.82,10.67,0,0,10.67,0,0
 36-46,0,8.06,0.81,1.61,0,0,5.64,0,0,2.42,0,0,0,0,307.77,0,34.64,62.84,33.03,0.81,0,0,2.42,0,0.81,0,0,0.81,0,2.42,13.7,0,0
 48-58,0,2.3,0.57,10.33,0,0.57,2.87,2.87,0,2.3,0,0,0,0,407.98,0.57,74.02,38.44,34.43,0,0,0,6.89,0.57,0,0,0,2.3,0,4.59,13.2,1.15,0.57
 60-70,0,0.98,0,12.76,1.96,0.98,1.96,1.96,0,1.96,0,0,0,0.98,421.07,0,108.95,17.67,33.37,0.98,0,0,4.91,1.96,0,0,0,3.93,0,41.22,17.67,31.41,0
 72-82,0,6.87,0,32.39,13.74,1.96,11.78,0.98,0,0,0,0,0,0,555.62,0,83.44,23.56,29.45,0.98,0,0,11.78,2.94,0,0,0,2.94,0,68.72,17.67,97.18,0.98
 84-94,0,3.19,0,46.73,12.74,0,4.25,3.19,0,1.06,2.12,0,0,0,375.96,0,115.76,19.12,14.87,1.06,0,0,8.5,1.06,0,0,0,2.12,0,80.71,19.12,96.65,0
 96-106,0,4.37,0,32.79,9.84,1.09,4.37,8.74,3.28,0,0,1.09,1.09,2.19,344.25,0,64.48,12.02,21.86,0,0,0,18.58,0,0,0,0,1.09,0,57.92,21.86,116.93,0
108-118,0,1.53,0.77,18.38,6.13,0.77,3.83,0.77,0.77,0.77,0,0,0,0.77,280.34,0,64.34,10.72,27.57,0.77,0,0,16.09,0,0,0,0,0,0.77,53.62,13.79,78.13,0
120,0,5.88,0,7.84,9.8,3.92,1.96,3.92,0,0,0,0,0,0,252.81,0,64.67,5.88,13.72,0,0,0,15.68,1.96,0,0,0,0,1.96,29.4,9.8,96.03,0
