stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,3132.24,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,171.63,0,0,0,0,0,0,0,0,0,0,0
  7-9,52.57,89.38,10.51,0,0,764.96,0,0,0,0,0,65.72,0,0,0,0,0,0,0,0,0,0,0,2949.42,5.26,0,0,73.6,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,31.47,0,3.15,245.46,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,547.57,0,0,0,12.59,0,6.29,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,54,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,742,0,0,0,0,0,0,0,2,0,0,0,101,0,0,0,0,0
 24-34,0,0,0,3.28,2.46,9.85,0,0,0,2.46,0,0,1.64,0,0,0,0,0.82,0,5.75,0,0,0.82,1283.82,0,2.46,1.64,0,0,1.64,0,0,0,0,2.46,252,0,0,0,0,0
 36-46,0,0,0,4.83,0,24.17,0,0,0.81,21.75,0,0,0,0.81,0,0.81,0.81,0,1.61,9.67,0,0,2.42,2564.45,1.61,2.42,0.81,0,0,5.64,0,0,0,0,0,409.28,0,0,4.03,0,2.42
 48-58,0,0,0,10.9,1.15,130.83,0,1.15,0.57,38.44,0,0,0.57,0.57,0,1.15,1.15,0,1.15,29.26,1.15,1.15,4.02,2848.94,0.57,1.15,0.57,0,0,4.02,0,0,0.57,0,0,513.56,0,0,1.15,0,1.15
 60-70,0,0,0,0.98,0,77.54,0.98,0.98,0.98,24.54,0,0,0,1.96,0,0,0.98,0,0,24.54,0.98,0.98,2.94,2575.51,0.98,0.98,0,0,0,0.98,0,0,0.98,0.98,0,434.81,0,0,0.98,0,1.96
 72-82,0,0,0,10.8,2.94,106.02,0,0,0.98,48.1,0.98,0,0.98,0.98,0,0,0,0,1.96,33.38,0,2.94,5.89,1474.46,0.98,2.94,1.96,0,0.98,2.94,0,0,0.98,0,0,172.77,0,0,7.85,0.98,1.96
 84-94,0,0,0,14.87,1.06,123.2,0,0,2.12,44.61,1.06,0,0,1.06,0,1.06,0,0,0,24.43,0,1.06,2.12,824.14,2.12,1.06,0,0,0,3.19,0,0,1.06,0,0,117.89,0,3.19,5.31,0,1.06
 96-106,0,0,0,10.93,3.28,80.87,2.19,2.19,0,37.16,0,0,0,0,1.09,0,0,2.19,0,19.67,1.09,2.19,1.09,536.59,0,0,1.09,0,0,5.46,0,0,0,0,0,32.79,0,0,0,0,0
108-118,0,0,0,14.55,0.77,26.04,0.77,1.53,0.77,22.98,0,0,0,1.53,0,0,0,0.77,0,5.36,0,0.77,1.53,591.32,0,0.77,0,0,0,0,0,0,0,0,0,21.45,0.77,1.53,0.77,0,0
120,0,0,0,3.92,0,33.32,0,0,1.96,27.44,0,0,0,1.96,0,1.96,0,0,0,13.72,0,0,0,666.33,0,0,3.92,0,0,3.92,0,0,0,0,0,19.6,0,0,1.96,0,0
