stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,spinal_cord,taste
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,5,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,1,1,2,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0,4.1,0,0,9.03,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,8.06,0,0.81,0
 48-58,0,1.15,0,1.15,0,0,0,0,0,0,0,1.72,0,0,7.46,0,0,6.31,0,0,0
 60-70,0,0.98,0,2.94,0,0.98,0,0,0.98,0,0,0.98,0,0,9.82,0,0,8.83,0,0,0
 72-82,0,0.98,0,0.98,0,3.93,0.98,0,0.98,0,0.98,4.91,1.96,0,6.87,0.98,0.98,6.87,0,1.96,0
 84-94,0,2.12,0,3.19,0,4.25,3.19,0,1.06,0,0,6.37,0,0,4.25,0,0,12.74,0,1.06,0
 96-106,0,2.19,0,1.09,1.09,1.09,3.28,0,1.09,0,0,4.37,1.09,0,7.65,0,1.09,4.37,0,0,0
108-118,0,1.53,0.77,0,0.77,0,2.3,0,2.3,0.77,0,4.6,0,0,6.13,0,0,9.19,0,0,1.53
120,0,5.88,1.96,1.96,1.96,0,3.92,0,0,0,1.96,3.92,0,0,7.84,0,0,21.56,0,0,0
