stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,26.36,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,73.56,484.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,6.13,0,0,0,0,0,0,0
  7-9,2.63,10.51,21.03,0,0,26.29,0,0,0,13.14,0,0,0,0,0,0,0,283.9,2.63,0,0,63.09,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,138.47,0,0,0,28.32,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,5,1,0,0,0,0,0,0,0,0,0,2,0,0,7,1,0,1,0,0,2,0,0,4,0,0,0
 24-34,0,0,0,1.64,0,0.82,0,0,0,0,0,1.64,0,0,2.46,0,1.64,8.21,0,0.82,0,0,0,0,0,0.82,3.28,0,0.82,0
 36-46,0,0,0,1.61,0,0.81,0,0,0,0,0,0.81,0,0,1.61,0,0,5.64,0,0,0,0,1.61,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,0.57,0,0.57,0,0.57,3.44,0,0,0,0,0.57,0,0,0,0,0,0.57,0.57
 60-70,0,0,0,1.96,0,2.94,0.98,0.98,0,0,0,0,0,0,1.96,0,0,8.83,0,0,0,0,1.96,0,0,0,0.98,0,0,0
 72-82,0,0,0,0.98,0.98,1.96,0,0.98,0,0,1.96,0,0,0,2.94,0.98,0.98,5.89,0,0,0.98,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,1.06,2.12,4.25,0,1.06,0,0,0,0,0,0,1.06,0,0,5.31,0,0,0,0,2.12,0,0,0,1.06,1.06,0,0
 96-106,0,0,0,0,1.09,1.09,0,0,0,0,0,0,0,1.09,0,0,0,1.09,0,0,0,0,3.28,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,2.3,0,0.77,0.77,0,0,0,0,0,0.77,0,0,2.3,0,0,0,0,1.53,0,0,0,0.77,0.77,0,0
120,0,0,0,1.96,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,7.84,0,0,0,0,1.96,0,0
