stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,12.59,0,3.15,0,6.29,0,3.15,0,0,0
 14-21,0,0,0,1,1,0,0,2,0,0,0,3,0,0,0,4,0,0,0,0,14,0,0,0,0,0,0,1,8,0,2,2,0,0
 24-34,0,0,0,0.82,0.82,0,0,4.1,0,0,1.64,0.82,0,0.82,0,1.64,0,3.28,0,1.64,20.52,0.82,0,0,0,0.82,0,0,12.31,0.82,1.64,5.75,0.82,0
 36-46,0,0,0,0,0,0,0,3.22,0,0.81,2.42,0.81,0,0,0.81,0.81,0,2.42,0,1.61,16.92,1.61,0.81,0.81,0,0.81,0,0,9.67,0,0,4.83,0,0
 48-58,0,0,0,0,0,0,0,3.44,0,0,2.87,0,0.57,0,0,1.72,0.57,1.15,0.57,0,14.92,0.57,0.57,0,0,0,0,0,14.35,0,0,3.44,0,0
 60-70,0,0,0,0,0,0.98,0,7.85,0,0.98,1.96,0.98,0,0,0,0.98,0,3.93,0,0,15.7,0,0,0,0,0,0,0,14.72,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,4.91,0.98,1.96,3.93,3.93,0,0,0,2.94,0,1.96,0,0,13.74,0.98,0,0,0,0.98,0,0,42.21,0,0,0.98,0,0.98
 84-94,0,0,0,0,0,0,0,3.19,1.06,1.06,3.19,4.25,1.06,0,1.06,4.25,0,4.25,0,0,3.19,0,0,0,0,0,0,0,100.89,0,0,0,0,0
 96-106,0,0,1.09,1.09,1.09,0,0,1.09,0,0,1.09,28.41,0,0,0,3.28,0,1.09,0,0,9.84,0,0,0,0,0,0,0,124.58,0,0,1.09,0,0
108-118,0,0,0.77,0,0,0,0.77,2.3,0,0.77,1.53,66.64,0.77,0,1.53,8.43,0,3.06,0,0.77,8.43,1.53,1.53,0,0,0.77,0,0,121.02,0,0,0.77,1.53,0
120,0,0,0,0,0,1.96,0,5.88,0,0,1.96,43.12,0,0,0,3.92,0,3.92,0,0,15.68,0,0,0,0,3.92,0,0,82.31,0,0,0,0,0
