stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,39.53,685.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,312.61,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.83,5.26,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,116.44,0,0,0,28.32,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,3,26,1,0,2,0,0,3,0,2,0,0,7,3,0,0,0,0
 24-34,0,0,1.64,4.1,0.82,0,13.13,0,1.64,0,0.82,0,0,0,0,4.1,0,0,0.82,0,7.39,0,0,4.93,55.82,1.64,0.82,2.46,0,0,13.13,0,0,2.46,0.82,0,11.49,0,0,2.46,0
 36-46,0,0,0,2.42,0,0,16.11,1.61,0,0.81,0.81,0,0,0,0.81,0,0,0.81,0.81,0,8.86,0.81,0.81,3.22,55.59,0,0,1.61,0,0,13.7,0,0,0.81,0.81,0,7.25,0,0,0.81,3.22
 48-58,0,0,0,1.72,0,0,26.4,0.57,0,1.72,4.59,0.57,0,0.57,1.15,0,1.15,0,0,0.57,20.08,0,0.57,4.59,48.2,0.57,0.57,0.57,0,0,8.03,0,0,0,0.57,0,12.62,0,0,2.87,1.15
 60-70,0,0,0,1.96,0,0,76.56,0.98,0.98,0,9.82,0.98,0,0,0.98,0,0.98,0,0.98,0,21.59,0,0,1.96,42.21,0,2.94,0.98,0,0,4.91,0,0,1.96,0,0,5.89,0,0,1.96,0
 72-82,0,0,0,2.94,0,0,55.95,0.98,0,0.98,8.83,8.83,0,0.98,0.98,0.98,0.98,0,0.98,0.98,26.5,0,3.93,2.94,42.21,0.98,2.94,0.98,0,0,9.82,0,0,0,0,0,2.94,0,0.98,3.93,0.98
 84-94,0,0,0,11.68,1.06,3.19,43.54,0,0,0,3.19,4.25,0,0,4.25,5.31,1.06,1.06,4.25,1.06,12.74,2.12,1.06,0,19.12,0,1.06,1.06,0,0,24.43,0,0,1.06,0,0,1.06,1.06,0,3.19,1.06
 96-106,0,0,0,1.09,0,0,34.97,0,1.09,0,5.46,3.28,0,0,1.09,1.09,0,1.09,2.19,0,13.11,1.09,2.19,1.09,21.86,0,1.09,1.09,0,0,24.04,0,0,0,2.19,0,1.09,1.09,0,4.37,2.19
108-118,0,0,0,5.36,0.77,9.19,28.34,0,2.3,0,3.06,5.36,0,0,1.53,2.3,0.77,0,3.06,0,7.66,0.77,0,3.83,17.62,0.77,2.3,0.77,0,0.77,16.09,0,0,0,0.77,0,0,0,0,2.3,0.77
120,0,0,0,15.68,3.92,0,31.36,0,1.96,0,3.92,3.92,0,0,3.92,0,1.96,1.96,9.8,0,15.68,0,0,3.92,23.52,0,1.96,0,0,0,17.64,0,0,0,1.96,0,0,0,0,1.96,0
