stage,blastomeres,endoderm,epidermis,eye,glial,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,15.73,0,3.15,0,0,0,0
 14-21,0,0,2,0,0,1,1,3,18,0,1,0,2,3,8
 24-34,0,0,0,2.46,0,0,4.1,0.82,13.95,0,0,0.82,0,0.82,2.46
 36-46,0,0,0.81,1.61,0,0,0,0,4.03,0.81,0,0.81,0,0,0
 48-58,0,0,0,1.72,0.57,0,1.15,0,1.72,0,0,0.57,0,0,1.15
 60-70,0,0,0.98,0,0,0,0.98,0,2.94,0,0,0,0,0,0
 72-82,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,1.96,1.96,0,0,3.92,0,0,0,0,0,0,0,0
