stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,8,2,1,0,0,0,13,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,10.67,0.82,0,0,0,0,9.85,0,0.82,0,0,0,1.64,0,0,0,7.39,0,0,0.82,0,0,1.64,2.46,0,0,0
 36-46,0,0,0.81,0,0,2.42,0,7.25,8.86,0,0,0,0,3.22,0,0,0,0,15.31,0,0.81,0,0,0,0,2.42,0,0,0
 48-58,0,0,0,0,0,1.72,0,6.89,4.59,0,0,0,0,0.57,0,0,0,0,9.75,0,0,2.3,0,0,0,8.61,0,0,0
 60-70,0,0,0,0,0,8.83,0,14.72,22.58,0,0,0,0,2.94,1.96,0,0,0,12.76,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,7.85,0.98,0.98,0,1.96,0.98,9.82,111.91,1.96,0,0,0,0.98,0.98,0,0,0,16.69,0.98,0,0.98,0,0,0.98,0.98,0.98,0,0
 84-94,0,3.19,1.06,0,0,1.06,0,5.31,211.35,3.19,0,0,0,0,5.31,0,0,0,7.43,0,0,0,0,1.06,1.06,0,1.06,0,0
 96-106,0,8.74,2.19,0,4.37,7.65,0,7.65,302.72,3.28,1.09,0,1.09,5.46,6.56,0,1.09,0,30.6,0,0,1.09,0,3.28,9.84,0,0,1.09,1.09
108-118,0.77,6.89,4.6,2.3,0.77,2.3,0,3.06,330.13,1.53,0.77,0.77,0,0,6.13,0,0,0.77,26.81,0,0,0.77,0.77,3.06,0.77,0,0.77,0,0
120,0,1.96,0,1.96,0,5.88,0,3.92,225.38,3.92,0,0,0,3.92,5.88,1.96,0,0,13.72,0,0,0,0,1.96,1.96,0,0,0,0
