stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,immune,liver,mesenchyme,muscle,neural,periderm,pronephros,somites,spinal_cord
 14-21,0,0,0,1,0,0,0,0,1,0,2,0,0,2,0
 24-34,0.82,0,0,0,0,0,0,0.82,0,0,4.1,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,8.06,0,0,0,0.81
 48-58,0,0,0,1.15,0,1.72,0,0,0.57,0,2.3,0,0,0,2.3
 60-70,0,0,0,0.98,0,0,0,0.98,0,0,3.93,0,0,0,0
 72-82,0,0,0,3.93,0,0,0,0,0.98,0,0.98,0,0,0,0
 84-94,0,1.06,0,1.06,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,1.09,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,1.53,0.77,0,0.77,0,0,0,0,0,0,0,0
120,0,0,1.96,3.92,0,0,0,0,0,0,1.96,3.92,0,0,0
