stage,epidermis,exocrine_pancreas,eye,fast_muscle,glial,gut,immune,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,slow_muscle,somites,spinal_cord,xanthophores
 14-21,2,0,1,0,0,0,0,1,0,0,8,6,0,0,2,3,3,1,0
 24-34,0,0,0,0.82,0,0,0,0.82,0,0.82,3.28,1.64,0.82,0,0.82,1.64,0.82,3.28,0
 36-46,0,0,0,0,0,0,0,0,0.81,0.81,1.61,0,0,0,0.81,0,0,0.81,0.81
 48-58,0,0,0.57,0,0.57,0,0,1.72,0,0.57,1.72,0,0,0.57,0.57,0,0,1.15,0
 60-70,0,0,1.96,0.98,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
 72-82,0,0,1.96,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,1.06,1.06,1.06,0,0,1.06,0,0,0,3.19,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,1.09,0,0,0,3.28,0,0,0,0
108-118,0,0.77,0.77,0,2.3,0,0,0,0,0.77,1.53,0,0,0,1.53,0,0,0,0
120,3.92,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
