stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0
 14-21,1,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,0
 24-34,0,2.46,0,0,1.64,0.82,0,0,0,0,0,0.82,0,0.82,11.49,0,0.82,0,0,0.82,0,2.46,0
 36-46,0,0,0,0,2.42,0,0,0,0,0.81,0,0,0.81,0,26.59,0,0,0,0,0,0,5.64,0
 48-58,0,0.57,0,0,9.18,0,0,1.72,0,0,0.57,2.3,0,0.57,21.8,0.57,0,1.15,0,0,0,8.03,0
 60-70,0,0.98,0,0,3.93,0,0,0,0,0,0,1.96,0,0,16.69,0,0.98,0,0,0,0,1.96,0.98
 72-82,0,0.98,0,0,3.93,0,0.98,0.98,0.98,0.98,0,1.96,0,0,19.63,0,0,0.98,0,0,0,1.96,0
 84-94,0,0,1.06,0,3.19,0,1.06,2.12,1.06,0,0,1.06,0,0,12.74,0,0,0,0,1.06,0,0,0
 96-106,0,2.19,0,0,3.28,0,0,1.09,0,0,0,1.09,0,0,3.28,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0.77,2.3,0,0,0,0,0.77,0,0.77,0,0,6.89,0,0,0.77,0,0,0,0,0
120,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0
