stage,eye,gut,immune,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord
  5-6,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0.82,0.82,2.46,0,0.82,0,0,0
 36-46,0,0,3.22,0.81,0,1.61,0,0,0,0,0.81
 48-58,0,0,5.74,0,0,0.57,0,0,0,0.57,0
 60-70,0.98,0,11.78,0,0,2.94,0.98,0,0,0,0
 72-82,0.98,0,15.71,0,0,0.98,0.98,0,0,0,0
 84-94,0,2.12,47.79,0,0,0,0,0,0,3.19,0
 96-106,0,0,40.44,0,0,2.19,0,0,0,1.09,0
108-118,0.77,0,25.28,0,0,1.53,0,0,0,0.77,0
120,0,0,21.56,0,0,0,0,0,0,0,0
