stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,1779.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0
  5-6,18.39,410.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,2.63,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,4,2,6,0,0,0,0,1,0,0,0,0,0,0,4,7,0,0,2,65,0,0,1,1,0,1,2,1,0,30,0,0,0,0,1
 24-34,0,0,2.46,0,2.46,0.82,5.75,0,0,0,0,1.64,0,0.82,0,0,0,0,8.21,14.78,0,0,3.28,142.83,0,1.64,0.82,0,0,0,0,1.64,1.64,36.12,0,0,0,0,2.46
 36-46,0,0,0,0,0,0,13.7,0,0.81,0.81,2.42,0,0,4.83,0,1.61,0,0,18.53,17.72,0,0.81,5.64,182.08,0,0.81,0,0,0,2.42,0,0,0,38.67,0,0,1.61,0,3.22
 48-58,0,0,0,0,0,0,25.25,0,0,4.02,8.03,0,0.57,1.15,0,2.3,0,0,20.08,20.08,0,0.57,2.3,164.68,0,0.57,0,0,0,2.87,0,0.57,0,27.54,0,0.57,0,0,5.74
 60-70,0,0,0,0,0.98,0,51.04,0,0.98,2.94,5.89,0,0,0.98,0,2.94,0,0,3.93,27.48,0.98,0,3.93,201.21,0,0,0,0,0.98,1.96,0,0,0,31.41,0,0.98,0.98,0,5.89
 72-82,0,0,0.98,0,2.94,0,44.17,0,0.98,4.91,15.71,0,0,0.98,0,0.98,0.98,0,11.78,31.41,0,0,3.93,201.24,0,0,0,0,1.96,5.89,0,0.98,0,14.72,0.98,3.93,1.96,3.93,9.82
 84-94,0,0,1.06,0,3.19,1.06,59.47,0,0,1.06,16.99,2.12,0,2.12,1.06,6.37,0,1.06,37.17,26.55,0,1.06,1.06,110.45,0,0,1.06,0,2.12,11.68,0,0,0,8.5,0,1.06,1.06,0,13.81
 96-106,0,0,0,0,4.37,1.09,37.16,3.28,0,1.09,18.58,0,0,1.09,0,6.56,0,0,15.3,20.76,1.09,1.09,1.09,90.71,0,0,1.09,0,3.28,5.46,0,1.09,0,2.19,1.09,7.65,3.28,2.19,15.3
108-118,0,0,1.53,0,3.83,0.77,41.36,0,0.77,0,13.79,0.77,0,0.77,0.77,16.85,0,1.53,26.04,25.28,0,1.53,0,84.26,0,0.77,2.3,0,1.53,3.83,0,0.77,0,5.36,0,3.06,1.53,0.77,19.15
120,0,0,1.96,0,1.96,0,41.16,0,1.96,3.92,13.72,0,0,0,0,1.96,1.96,0,19.6,23.52,0,0,1.96,92.11,0,0,0,0,0,5.88,0,1.96,0,7.84,0,1.96,1.96,0,3.92
