stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,239.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,10.51,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,55.2,5.26,0,0,55.2,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,0,18.88,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,176.23,3.15,0,0,81.82,0,0,0,18.88,0,0,0,0,0,0,0
 14-21,0,0,2,26,6,5,0,0,0,3,2,0,0,0,0,0,0,0,0,14,0,0,12,95,8,1,2,7,0,2,23,1,1,31,35,0,2,0,0
 24-34,0,0,0,7.39,2.46,6.57,0.82,0.82,0.82,4.1,0,0,0.82,0.82,1.64,0,0.82,0,1.64,12.31,1.64,0,9.03,81.26,0.82,1.64,0.82,0,0,9.03,0,1.64,0.82,4.1,14.78,0,3.28,0,1.64
 36-46,0,0,0,0.81,0.81,8.06,0.81,0,0,2.42,0,0,0.81,0.81,0,0,0.81,0,0,10.47,0,0.81,5.64,45.92,0.81,0.81,0,0,0,8.86,0,0,0,0,20.14,0,1.61,0,0.81
 48-58,0,0,0,2.3,1.72,12.05,0.57,0,1.15,1.15,0,0,0,0,0,0,0,0,0,13.77,0,0,0.57,18.94,0,0,0,0,0,2.87,0,0,0.57,0,4.59,0,1.15,0,0
 60-70,0,0,0,2.94,2.94,18.65,0,0.98,0.98,6.87,0,0,0.98,0,0,0,0,0,0,10.8,0,0.98,0,26.5,0,0,0,0,0,5.89,0,0,0,0,5.89,0,0,0,0.98
 72-82,0,0,0.98,0,7.85,10.8,0.98,0,0,9.82,0,0.98,0,0,0.98,0,0.98,0.98,0,20.61,0.98,0,1.96,26.5,0,0.98,0.98,0,0,4.91,0,0,0,0,3.93,0.98,1.96,1.96,0
 84-94,0,0,0,5.31,8.5,13.81,0,0,4.25,1.06,0,0,0,2.12,0,0,1.06,0,0,14.87,0,0,4.25,8.5,0,0,0,0,1.06,8.5,0,0,2.12,0,0,0,2.12,0,0
 96-106,0,0,0,3.28,19.67,7.65,1.09,0,1.09,5.46,1.09,0,1.09,0,0,0,1.09,0,0,13.11,0,0,2.19,12.02,0,2.19,2.19,0,0,8.74,0,2.19,0,0,1.09,1.09,2.19,1.09,0
108-118,0,0,0,8.43,9.96,8.43,0,2.3,0,6.89,0.77,0,0.77,0.77,0,0,1.53,0.77,0,13.02,1.53,0,1.53,16.09,0,3.06,0,0,0,12.26,0,0.77,0,0,0.77,0,3.06,0,0.77
120,0,0,0,3.92,5.88,3.92,0,1.96,0,9.8,3.92,0,0,3.92,0,1.96,0,0,0,7.84,0,0,1.96,13.72,0,3.92,1.96,0,0,7.84,0,0,0,0,0,0,3.92,0,1.96
