stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,129.03,3.15,0,0,12.59,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,19,2,0,9,0,0,2,3,0,1,0,1,0,0,0,0,23,0,14,108,1,1,5,2,0,2,1,1,0,0,7,26,0,0,5,0,0
 24-34,0,0,0,1.64,13.95,1.64,0,15.6,0.82,0.82,1.64,0.82,0,4.1,0,0,0,0.82,1.64,0.82,60.74,0.82,23.8,132.98,0.82,0,10.67,0,0,0.82,0,0,1.64,0,0.82,35.3,0,0,35.3,0,0.82
 36-46,0,0,0,0,3.22,0,0,4.03,0,2.42,20.95,0.81,0,4.83,0,0,0,0,0,0,90.23,4.03,33.03,87.01,0.81,0.81,8.86,0,0.81,2.42,0,0,1.61,0.81,0,17.72,0,0.81,21.75,0,3.22
 48-58,0,0,0,0,1.15,0,0,10.33,0.57,3.44,25.82,0,0,4.02,0,0,0,0.57,0,0,96.97,5.16,13.2,34.43,1.72,1.15,3.44,0,1.72,0,0,0,0,0,0,13.2,0,2.3,8.03,0,3.44
 60-70,0,0,0,0,0.98,0,0,4.91,0.98,1.96,52.02,0,0,4.91,0,0,0,0,0,0,180.6,6.87,11.78,39.26,0,0,3.93,0,2.94,0,0,0,0,0,0,11.78,0,3.93,13.74,3.93,5.89
 72-82,0,0,0,0,4.91,0,0,11.78,0.98,3.93,61.84,0,0,3.93,0,0,0.98,0.98,0,0,185.53,5.89,15.71,25.52,0.98,0.98,2.94,0,3.93,0.98,0,0,0.98,0,0,4.91,0,4.91,23.56,5.89,6.87
 84-94,0,0,1.06,0,7.43,0,0,16.99,2.12,2.12,37.17,6.37,0,1.06,1.06,2.12,0,1.06,1.06,1.06,116.82,8.5,7.43,23.36,4.25,0,7.43,0,1.06,3.19,0,0,1.06,0,0,3.19,1.06,5.31,18.05,5.31,6.37
 96-106,0,0,0,0,6.56,0,1.09,10.93,1.09,3.28,41.53,3.28,0,1.09,1.09,0,1.09,1.09,2.19,0,121.31,4.37,4.37,15.3,1.09,1.09,2.19,0,6.56,4.37,0,0,1.09,0,0,0,0,3.28,26.23,2.19,4.37
108-118,0,0,0.77,0,4.6,1.53,0.77,7.66,0,1.53,34.47,3.06,0,0.77,0,0,3.06,0,1.53,0,85.79,3.06,6.13,15.32,3.06,1.53,5.36,0,3.83,3.83,0,0,2.3,0,0,0.77,0.77,3.83,16.09,4.6,5.36
120,0,0,0,0,9.8,1.96,0,9.8,1.96,3.92,31.36,0,0,3.92,5.88,0,0,0,0,0,68.59,3.92,1.96,15.68,0,1.96,1.96,1.96,1.96,3.92,0,0,1.96,0,0,1.96,0,1.96,21.56,5.88,1.96
