stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,1,4,2,1,0,0,0,0,0,0,2,0,0,0,0,3,0,1,18,0,0,0,0,0,1,0,1,27,0,0,0,0,0
 24-34,0,0.82,0,1.64,0,3.28,0,0,0,0,0,0,16.42,0,0,0,0,3.28,0,0.82,111.64,0,3.28,0.82,0,0.82,0,0,0.82,44.33,0,0,0,0,0
 36-46,0,0.81,0,3.22,0,18.53,0,0,0,1.61,0,0,2.42,0,0,0,0,0,0,0.81,238.48,0,0.81,0,0,0,0,0,0,57.2,0,0,0.81,0,0
 48-58,0,0,0,1.15,0,72.3,0,0,0,2.87,0,0.57,2.87,0,0,0,0.57,4.02,0.57,0.57,380.43,0,1.15,0.57,0,1.15,0,0,0,65.99,0,0,1.72,0,0.57
 60-70,0,0.98,0,2.94,0,332.74,0,2.94,0,3.93,0,0.98,4.91,0,0.98,0,0,12.76,0,0,603.64,0,0,0.98,0,0.98,0,0,0,57.91,0,0,0.98,0.98,0.98
 72-82,0,0,0,1.96,0,363.21,0.98,0,1.96,20.61,0,0,1.96,0,0,0.98,0,8.83,1.96,0.98,478.07,0,0.98,0,0,0,0,0,0,47.12,0.98,0,0.98,0,0
 84-94,0,0,0,8.5,2.12,212.41,0,1.06,0,12.74,1.06,1.06,13.81,0,0,0,0,7.43,1.06,1.06,237.9,1.06,1.06,1.06,0,2.12,0,1.06,0,35.05,0,0,0,0,0
 96-106,0,0,0,9.84,1.09,194.53,0,1.09,0,15.3,1.09,1.09,10.93,0,0,0,0,12.02,0,0,197.81,0,3.28,1.09,0,3.28,0,0,0,9.84,0,1.09,1.09,1.09,2.19
108-118,0,0.77,0,6.89,0,135.58,0.77,0,0.77,5.36,0.77,2.3,9.19,0.77,0.77,0,0,12.26,1.53,0.77,241.28,0,1.53,0.77,0,0.77,0,0,0,4.6,0,0,0,0.77,0
120,0,0,0,3.92,0,99.95,1.96,1.96,0,13.72,0,3.92,7.84,0,0,0,0,9.8,3.92,1.96,258.69,0,0,1.96,0,3.92,0,0,0,3.92,0,0,0,0,0
