stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0.82,0.82,1.64,0,0.82,0,0,0,0,0,29.55,0,0,0,0,0,0,0,0,3.28,0,0,0.82,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,70.09,0,0,0,0,2.42,0,0.81,0,4.03,0,0,0.81,0,0,0,0,3.22,0,0,1.61,0,0
 48-58,0,0,1.15,0,0,0,0,0,0,0,74.02,0,0,0,0,0.57,0,1.15,0.57,5.74,0,0,0,0,0,0.57,0,0.57,0,0,2.3,0,0.57
 60-70,0,0,0,0,6.87,0,0,0.98,0,0,114.84,0,0,0,0,1.96,0,0,0,9.82,0,0,0,0,0,0.98,0,2.94,0,0,6.87,0,0
 72-82,0,0,0.98,0,7.85,0,0,0.98,1.96,0,238.54,0,0,0.98,0,2.94,0,1.96,0.98,11.78,0,0,0,0,0,0.98,0,0,0,0.98,19.63,0.98,0
 84-94,0,4.25,3.19,0,1.06,1.06,0,2.12,2.12,0,277.19,0,0,0,0,1.06,1.06,2.12,0,3.19,0,0,1.06,0,0,4.25,0,2.12,1.06,1.06,16.99,2.12,0
 96-106,0,10.93,7.65,1.09,14.21,0,2.19,3.28,5.46,0,430.58,1.09,1.09,2.19,4.37,9.84,0,1.09,2.19,14.21,1.09,0,1.09,0,0,8.74,0,0,0,1.09,54.64,1.09,1.09
108-118,0,3.06,10.72,2.3,6.89,0,1.53,4.6,6.89,0.77,399.83,0.77,0,0,0,8.43,0,0,0,22.21,0,0,0,0,0,5.36,0.77,1.53,0.77,0.77,36.77,0,0
120,0,9.8,5.88,0,11.76,0,0,1.96,3.92,0,497.79,0,0,1.96,1.96,5.88,0,0,7.84,19.6,0,1.96,1.96,0,1.96,1.96,0,0,0,0,29.4,0,0
