stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,9,0,0,0,15,0,0,1,0,0,0,0,0,2,0,0,0,18,1,1,0,0,0,0,1,1,26,0,0,20,0
 24-34,0,0.82,4.1,0,4.93,0,0,4.1,0.82,0,0,0,0,0,0,0,0.82,0,0,0,74.7,0,32.83,0,0,0,0,0,0.82,25.45,0,0,30.37,0
 36-46,0,0,0.81,0.81,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,178.86,0,51.56,0,0,0,0,0,0.81,24.98,0,0,6.45,0
 48-58,0,0,1.15,0.57,12.62,0,0,6.31,0,0,0,0.57,0,0,0,0,2.87,0,0,0.57,184.19,0,29.84,0,0.57,0,0,0,0,20.08,0,0,5.16,0
 60-70,0,0,0,0.98,49.08,0,0,18.65,0.98,0,0.98,0.98,0,0.98,0,0,1.96,0.98,0,0,431.87,0,29.45,0,0,0,0,0,0,21.59,0,0,2.94,0
 72-82,0,1.96,0.98,0.98,86.39,1.96,0,26.5,3.93,0,0,0,0,0,0.98,0,10.8,4.91,0,0,471.2,0,46.14,0.98,0,0,0,0,0,23.56,0,0.98,9.82,0.98
 84-94,0,3.19,7.43,2.12,62.66,0,0,15.93,1.06,1.06,0,1.06,0,0,0,0,3.19,3.19,0,0,244.27,0,36.11,0,0,0,0,0,0,6.37,0,0,2.12,0
 96-106,0,2.19,3.28,1.09,44.81,0,0,17.49,0,0,0,0,1.09,0,0,0,9.84,1.09,1.09,0,239.33,0,73.22,0,0,0,0,0,0,7.65,1.09,1.09,8.74,0
108-118,0,2.3,6.13,0,32.17,0.77,0.77,22.21,2.3,0,0,1.53,0,0,0.77,0.77,8.43,6.89,0.77,0.77,259.66,0,55.92,0.77,0,0,1.53,0,0,5.36,0.77,0,6.89,0
120,0,0,0,0,11.76,1.96,0,9.8,9.8,0,0,0,0,0,0,0,0,7.84,0,0,317.49,0,33.32,0,0,1.96,0,0,0,1.96,0,0,3.92,0
