stage,blastomeres,epidermis,eye,fast_muscle,glial,immune,ionocyte,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0
 24-34,0,1.64,0,0,0,0,0,0,3.28,0,0,0.82,0,0
 36-46,0,0,0,0,0,0.81,0,0,1.61,0,0.81,0.81,0,0
 48-58,0,0.57,0.57,0,0,1.15,0,0,4.59,0,0.57,0,0,0
 60-70,0,0,0,0,0,0.98,0,0.98,9.82,0,0,0,0,0
 72-82,0,0,4.91,0,0.98,2.94,0,0,14.72,0,0,1.96,0,0
 84-94,0,0,2.12,0,0,4.25,0,0,4.25,0,0,0,0,1.06
 96-106,0,0,1.09,0,0,7.65,0,0,3.28,0,0,0,1.09,0
108-118,0,0,0,0,0.77,7.66,0.77,0,0.77,0,0,0,0,0
120,0,0,1.96,1.96,0,19.6,0,0,1.96,0,0,0,0,0
