stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,2.63,0,0,0,47.32,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,63.09,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,3.15,0,0,116.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,591.63,0,0,0,6.29,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,22,2,37,0,0,0,0,0,0,0,0,18,0,0,0,3,4,0,3,328,1,0,0,0,1,1,1,2,31,0,0,0,0,1
 24-34,0,0,0,0.82,0,137.9,0,0,0,0.82,0,0,0,0.82,27.91,0,0,0,0.82,2.46,0,0,312.75,0,0.82,0,0,3.28,0,0,0.82,32.01,0,0,0.82,0,0
 36-46,0,0,0,0,0,132.94,0,0,0.81,22.56,0,0,0,0,6.45,0,0,0,0,0.81,0,0.81,456.81,0,0.81,0,0,1.61,0,0,0,23.36,0,0,0.81,0,0
 48-58,0,0,0,2.87,0,227.23,0,1.15,0,39.02,0,0,0,0,2.87,0.57,0,0.57,1.72,0,0,1.15,467.08,0,1.15,0,0,1.72,0,0.57,0,8.03,0,0,0,0,0
 60-70,0,0,0,2.94,0,289.55,0,0.98,0.98,55.95,0.98,0,0,0,1.96,0.98,0,0,6.87,0,0,0.98,597.75,0,1.96,0,0,0.98,0,0,0,13.74,0,0,0,0,1.96
 72-82,0,0,0,6.87,0,352.42,0.98,0.98,0,56.94,0,0,0,0,4.91,0.98,0.98,0,14.72,1.96,0,1.96,606.67,0.98,0.98,0.98,0,0.98,0,0,0,8.83,0,0,0.98,0.98,0.98
 84-94,0,0,0,7.43,0,321.8,1.06,0,2.12,41.42,0,1.06,0,2.12,3.19,2.12,1.06,0,8.5,1.06,0,0,369.59,0,0,2.12,0,4.25,0,2.12,0,7.43,0,1.06,1.06,0,0
 96-106,0,0,0,15.3,2.19,308.18,2.19,0,0,36.06,1.09,1.09,2.19,1.09,6.56,1.09,1.09,1.09,16.39,0,0,1.09,348.62,0,2.19,0,0,3.28,0,0,0,0,1.09,3.28,1.09,1.09,2.19
108-118,0,0,0,5.36,1.53,241.28,0.77,0,0,39.83,1.53,0,0,0.77,2.3,0,0,0,10.72,0.77,1.53,1.53,441.19,0,1.53,0.77,0,0.77,0,0,0,1.53,0,0,1.53,0,0.77
120,0,0,0,11.76,3.92,131.31,3.92,0,0,19.6,1.96,0,0,0,1.96,0,0,0,11.76,0,0,0,376.28,1.96,5.88,0,0,0,0,0,0,0,0,1.96,0,0,0
