stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,1,13,0,0,0,0,0,0,3,4,0,0,0,0,0
 24-34,1.64,2.46,0,0,7.39,0,0,0,0.82,0,0,0,0,0,0.82,3.28,0,0,0,50.07,0,0,0,0,0,0,0,30.37,0,0,1.64,0,0
 36-46,0.81,0.81,0,0,23.36,0.81,0,0,6.45,0,0,0,0,0,4.03,4.03,0,0,0,210.28,0,0,0,0.81,0,0,0,75.73,0,0,0.81,0,0
 48-58,2.3,4.59,0,0,46.48,0,2.3,0.57,9.18,0,0,0,0.57,0,1.15,9.18,0,0,1.15,315.02,0.57,0,0,0.57,0,0,0,70,0,0,1.72,0,2.87
 60-70,0,12.76,0,0,79.5,0,4.91,0,6.87,0,0,0,0,0,0.98,6.87,0,0,0,542.78,0,0,0,0,0,0,0,113.86,0,0,1.96,0,0
 72-82,1.96,11.78,0.98,0,71.66,0,2.94,0.98,16.69,0,1.96,0.98,0,0,0,15.71,0,0,0,431.93,0,2.94,0,0.98,0,0,0,102.09,0.98,0.98,4.91,0.98,0.98
 84-94,0,29.74,1.06,2.12,65.85,0,7.43,1.06,14.87,3.19,1.06,1.06,1.06,1.06,0,6.37,0,2.12,2.12,211.35,0,3.19,0,2.12,1.06,0,0,53.1,1.06,1.06,1.06,1.06,0
 96-106,0,19.67,2.19,5.46,48.09,0,5.46,0,19.67,2.19,5.46,1.09,0,1.09,0,9.84,0,0,0,191.25,0,1.09,0,2.19,0,2.19,0,27.32,0,0,3.28,0,0
108-118,0.77,29.87,0.77,36,36,0.77,13.79,0.77,18.38,0,5.36,0.77,0,2.3,0,12.26,0.77,0,3.06,211.41,0,1.53,0.77,0.77,0.77,0.77,0,21.45,0,0,2.3,0,0
120,1.96,52.91,0,17.64,58.79,0,5.88,0,37.24,0,5.88,3.92,0,3.92,0,11.76,1.96,1.96,5.88,235.17,0,3.92,0,0,0,0,0,29.4,0,0,3.92,0,0
