stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  3-4,39.53,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0
  5-6,18.39,177.76,6.13,0,0,0,0,0,0,0,0,0,0,0,12.26,0,6.13,6.13,0,0,0
  7-9,0,5.26,15.77,0,23.66,0,0,23.66,0,0,0,0,0,0,333.85,0,49.95,0,0,0,0
 10-12,0,3.15,6.29,0,15.73,0,0,0,0,0,0,0,0,0,40.91,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,4.93,0,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0.81,0,0
 48-58,0,0,0,0,2.3,0.57,0,0,0,1.15,0,0,1.15,0.57,3.44,0,0,1.15,1.15,0.57,0
 60-70,0,0,0,0,7.85,2.94,0,0,0,0,1.96,0,0,0.98,9.82,0.98,0,0,1.96,0,0
 72-82,0,0,0,0,0.98,0.98,0.98,0,0,0,0,0.98,1.96,0,4.91,0,0,0,0,0,0
 84-94,0,0,0,0,5.31,2.12,1.06,0,0,1.06,1.06,0,0,0,7.43,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,2.19,1.09,0,0,1.09,0,0,1.09,0,0,4.37,0,0,1.09,0,0,0
108-118,0,0,0,0.77,2.3,0.77,0,0,0,1.53,0,3.06,0,0,3.83,0,0,0,0,0,0
120,0,0,0,0,5.88,1.96,0,0,0,0,0,0,1.96,0,5.88,1.96,0,0,0,0,0
