stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,11,0,0,21,0,0,0,1,3,4,0,0,0,0,0,0,0,4,1,0,1,110,9,2,0,56,0,0,41,7,18,48,0,0,0,0,0
 24-34,0,0,0,19.7,1.64,0,25.45,0,0.82,4.1,2.46,4.93,0,0,0,0,0,5.75,0,0,11.49,0,0,3.28,197.01,4.93,0,0.82,0,0,1.64,0,6.57,43.51,39.4,0,0,0,0,0
 36-46,0,0,0,10.47,0,0,200.61,0,0.81,2.42,54.79,5.64,0,0.81,0,0.81,0,1.61,0,0,60.43,0.81,0.81,8.06,485.82,0,0,3.22,0,0,1.61,0,0.81,0,27.39,0,0,0,0,0
 48-58,0.57,0,0,20.66,0,0,650.12,0,1.15,4.59,144.03,1.15,0,0.57,0,0.57,1.15,3.44,0,0,105.01,0,1.72,12.62,613.4,0.57,0,0.57,0,0,1.15,0,0.57,0,58.53,0,0,1.15,0.57,0.57
 60-70,0,0,0,20.61,0.98,0,744.98,0.98,0,1.96,98.15,0.98,0,0,0.98,0,6.87,2.94,0,0.98,109.93,0,1.96,8.83,344.51,0,0,1.96,0,0,0,0,0.98,0,19.63,0.98,3.93,0,1.96,0.98
 72-82,0,0,0,13.74,0,0,383.83,0.98,0.98,2.94,76.57,0,0,0,0.98,0,15.71,4.91,0,0,116.82,0,0,9.82,214,0,0.98,7.85,0,1.96,0,0,0,0,4.91,5.89,6.87,0,19.63,0.98
 84-94,0,0,0,15.93,0,0,280.38,0,1.06,4.25,31.86,0,1.06,0,1.06,0,25.49,5.31,0,0,87.09,0,5.31,3.19,130.63,0,0,7.43,0,0,1.06,0,1.06,0,13.81,4.25,5.31,2.12,11.68,0
 96-106,0,0,0,7.65,0,2.19,167.21,2.19,2.19,2.19,27.32,2.19,0,1.09,0,1.09,34.97,4.37,0,0,63.39,0,1.09,4.37,102.73,0,0,5.46,0,1.09,3.28,0,0,0,3.28,17.49,4.37,3.28,9.84,0
108-118,0,0,0.77,5.36,0,0,144.77,0,0,0.77,24.51,0.77,0,0,0,0,49.02,6.13,0.77,0,49.02,0,1.53,2.3,120.26,0.77,2.3,6.13,0,2.3,0,0,1.53,0,0.77,16.85,6.13,0,6.89,0
120,0,0,0,17.64,0,0,145.02,0,1.96,3.92,33.32,0,0,0,0,1.96,37.24,7.84,0,0,50.95,0,0,5.88,111.71,1.96,0,0,0,1.96,0,0,0,0,0,3.92,1.96,1.96,5.88,0
