stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,28.92,2.63,0,0,13.14,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,6,1,0,1,0,0,1,0,4,4,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0.82,0,0,0,0,0,0,1.64,14.78,0,0,0,0,1.64,0.82,0.82,0,6.57,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0.81,1.61,0,0.81,9.67,0,0,0,0,0,0,0,0,6.45,0
 48-58,0,0,0,0,0,2.3,0,0.57,0,0,0,0,0.57,0,0,0.57,0,0,8.61,0,0,0,0,0.57,0,0.57,0,0.57,0
 60-70,0,0,0,0,0,3.93,0.98,0,0,0,0,0,0,0,0,1.96,0,1.96,6.87,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.94,0.98,0.98,0,0,0,0,0,0,0,1.96,0,0,10.8,0,1.96,0,0,0.98,0,0,0,1.96,0
 84-94,0,0,0,0,0,7.43,0,0,0,0,0,0,0,0,0,4.25,1.06,0,6.37,0,0,0,0,3.19,0,0,0,1.06,0
 96-106,0,0,0,1.09,0,3.28,0,1.09,0,0,0,0,0,0,0,1.09,1.09,1.09,4.37,0,0,0,0,1.09,0,0,0,1.09,1.09
108-118,0,0,0,0,0.77,0.77,0,0.77,0.77,0,0,0.77,0,0,0,0,0,0.77,6.89,0,1.53,0,0,2.3,0,0,0,0,0
120,0,0,0,1.96,0,3.92,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0
