stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0
 14-21,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
 24-34,0,6.57,0,0,0.82,0,2.46,0,0,0,0,0,3.28,0,0,0,202.75,0,0.82,1.64,0,0,0.82,0,0,0,0
 36-46,0,0.81,0,0,0.81,0,4.03,0,1.61,0,0,0,29.81,0,0,0,323.88,0,0.81,0.81,0,0,0,3.22,0,0,0
 48-58,0,1.15,0.57,0,8.03,0,3.44,0,0.57,0,0,0,60.25,0,0.57,1.72,245.01,0,0,3.44,0,0,0,2.3,0,0,0
 60-70,0,1.96,0,0,6.87,0,5.89,0,0.98,0,0,0,76.56,0.98,0,0.98,234.58,0,0.98,2.94,0,0,0,0.98,0,0.98,0
 72-82,0,1.96,0,0,11.78,0,1.96,0.98,7.85,0,0,0,95.22,0,1.96,0.98,228.73,0,0,6.87,0,0,0,2.94,0,0,0
 84-94,0,3.19,0,0,19.12,0,9.56,0,5.31,0,0,0,72.22,0,3.19,0,109.39,0,1.06,5.31,0,1.06,0,0,1.06,0,0
 96-106,0,3.28,1.09,0,12.02,1.09,1.09,0,6.56,0,0,0,61.2,0,3.28,2.19,90.71,0,3.28,8.74,0,2.19,0,1.09,0,0,2.19
108-118,0,0.77,0,0.77,6.13,0,8.43,0.77,7.66,0,0.77,0.77,59.75,0,0,0,146.3,0,0.77,10.72,0,1.53,0,0,0,0,0
120,0,1.96,0,0,9.8,0,3.92,0,1.96,0,0,0,50.95,0,1.96,0,129.35,1.96,5.88,5.88,0,1.96,0,0,0,0,0
