stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,7,0,0,4,0,0,0,2,0,0,0,1,0,0,0,1,0,3,23,0,4,2,1,7,1,6,4,0,0,0
 24-34,4.93,6.57,0,0,4.1,0.82,0,0,0,1.64,0,0,0.82,0,0,0.82,2.46,0,2.46,23.8,0.82,4.1,0,2.46,0,0,1.64,3.28,0,1.64,0
 36-46,0,1.61,0,0,1.61,0,0.81,0,0,2.42,0,0,0,0,0,0,0,0.81,0,12.89,0,1.61,0,5.64,0,0,0,0.81,0,0,0
 48-58,0,1.15,0,0,4.02,0,0,0,1.15,1.72,0,0,1.15,0,0.57,0,2.3,0,0,5.16,0.57,1.15,0,1.72,0,0,0,1.72,0,0,0
 60-70,0,2.94,0,0,0.98,0,0,0,1.96,0.98,0,0,0,0,0.98,0,1.96,0,0,4.91,0,0.98,0,1.96,0,0,0,1.96,0,0.98,0.98
 72-82,0,0.98,0,0,6.87,0,0,0,1.96,0,0.98,0,0,0,0.98,0.98,0.98,0,0,3.93,0,0,0,2.94,0,0,0,0,0,0,0.98
 84-94,0,2.12,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,4.25,1.06,3.19,0,11.68,0,1.06,0,0,0,0,0
 96-106,1.09,4.37,0,1.09,4.37,0,0,0,0,2.19,0,1.09,1.09,0,1.09,0,0,0,2.19,3.28,2.19,7.65,0,5.46,0,0,0,0,0,1.09,0
108-118,0,8.43,1.53,0,6.13,0,1.53,0,1.53,0.77,0,0.77,0,0.77,0,0,0.77,0.77,0,5.36,0.77,4.6,0,13.02,0,0,0,0,0,0,0.77
120,0,15.68,0,0,5.88,0,3.92,1.96,1.96,1.96,0,3.92,0,0,0,0,1.96,0,0,5.88,0,0,0,23.52,0,0,0,0,1.96,0,0
