stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,immune,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,2.63,0,0,5.26,0,0,0,0,0,0,23.66,0,5.26,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,28.32,0,6.29,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,1,1,2,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,1.64,0,0,4.1,0,0,0.82,0,0,3.28,0
 36-46,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0.81,0,0,10.47,0,0,0,0,0,2.42,0
 48-58,0,0,0,0.57,0.57,2.3,0.57,0.57,0,0,0,0.57,0.57,0,0,4.02,0,0,0,0,0,1.72,0
 60-70,0,0,0,0.98,0,2.94,0,0,0,0,0.98,0,2.94,0.98,0,6.87,0,0,0.98,0,0,0.98,0
 72-82,0,0,0,0,0,2.94,0,2.94,0,0,0,0,0,0,0,6.87,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,2.12,0,0,2.12,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,3.28,0,1.09,0,0,0,0,1.09,0,0,1.09,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0.77,0,0.77,0,0,0.77,0,0,2.3,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
