stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,4,1,0,0,0
 24-34,0,0,2.46,0,0,0,0.82,0,0,0,0,0,0,0,4.1,0,0,4.93,0,32.83,0.82,0,0,0
 36-46,0,0,0,0,0,0,2.42,0,0,0,3.22,0,0,0,0.81,0.81,0,2.42,0,24.17,0,0,0,0
 48-58,0,0,0.57,0,0,0,2.87,0,0,0,1.72,0,0,0,0.57,0,0,0.57,0,12.05,0,0,0.57,0.57
 60-70,0,0,0,0,0,0,8.83,0,0,0.98,8.83,0,0,0,4.91,0.98,0,1.96,0,15.7,0,0,0,0
 72-82,0,0.98,0,0,0.98,0,16.69,0,0,0.98,18.65,0.98,0,0.98,26.5,1.96,0,7.85,0,40.25,0.98,0,0,0
 84-94,0,2.12,0,0,3.19,0,31.86,0,2.12,0,42.48,0,0,0,88.15,0,0,2.12,1.06,96.65,0,0,1.06,0
 96-106,0,1.09,0,3.28,0,0,39.34,0,0,0,25.14,0,1.09,0,130.05,4.37,1.09,19.67,2.19,87.43,1.09,1.09,0,0
108-118,0,1.53,0,1.53,0,0.77,58.98,0.77,0,0.77,29.11,0,0.77,0.77,203.75,1.53,0.77,12.26,1.53,74.3,0,0,0,0
120,0,1.96,0,0,0,0,27.44,0,0,0,19.6,0,0,0,90.15,1.96,0,17.64,0,56.83,0,0,0,0
