stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,5.26,0,0,18.4,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,102.52,5.26,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,9.44,0,0,22.03,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,103.85,0,0,0,47.2,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,2,2,0,0,3,0,0,0,0,1,0,0,0,4,0,0,1,74,0,0,1,1,0,6,1,1,7,26,0,0,0,0,0
 24-34,0,0,0,1.64,0.82,7.39,0,0.82,0.82,0,0,0,0.82,0,0,0.82,0,4.1,0,0,4.93,108.35,0.82,2.46,1.64,0,0,0,0.82,0,0,17.24,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,28.2,0.81,0,8.06,0,0,0,0.81,0,0,0,0,5.64,0,0,0.81,113.6,0,0.81,0,0,2.42,0,0,0,0,33.03,0,0,4.03,0,0
 48-58,0,0,0,0,0,47.05,0,0,8.03,0,0.57,0,0,0,0.57,0,0,10.33,0.57,0,0,68.28,0,1.15,0,0,0.57,0,0,0,0,21.23,0,0.57,0.57,0,0.57
 60-70,0,0,0,0,0.98,34.35,0,1.96,6.87,0,0.98,0,0,0,0,0,0,2.94,0.98,0,1.96,29.45,0,0,0.98,0,0,0,0,0,0,1.96,0,0,1.96,0,0
 72-82,0,0,0,1.96,2.94,35.34,0,0,19.63,0.98,0,0,0.98,0,0,0,0,12.76,0.98,0,0,50.06,0,1.96,0,0,0.98,0,0,0,0,3.93,0.98,0,0.98,0,0
 84-94,0,0,0,1.06,1.06,58.41,0,0,15.93,2.12,0,0,3.19,0,0,0,0,13.81,0,0,3.19,41.42,0,0,1.06,0,8.5,0,0,0,0,4.25,2.12,0,2.12,0,0
 96-106,0,0,0,4.37,7.65,32.79,0,0,9.84,1.09,0,0,3.28,2.19,3.28,3.28,3.28,8.74,1.09,0,1.09,22.95,1.09,1.09,1.09,0,13.11,0,0,0,0,0,1.09,0,1.09,0,0
108-118,0,0,0,3.83,2.3,22.98,1.53,0,14.55,0.77,0,0.77,2.3,0.77,0.77,1.53,0,13.02,0,0.77,1.53,35.23,0.77,0.77,2.3,0,8.43,0,0.77,0,0,2.3,0,0,1.53,0.77,1.53
120,0,0,0,13.72,1.96,7.84,0,0,9.8,0,0,0,3.92,0,0,1.96,0,9.8,1.96,0,1.96,47.03,1.96,3.92,3.92,0,29.4,0,0,0,0,0,0,0,3.92,1.96,0
