stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,632.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,858.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,23.66,23.66,0,0,57.83,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,420.59,23.66,0,0,165.61,0,2.63,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,15.73,0,0,18.88,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,223.43,9.44,0,0,75.53,0,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,13,0,7,0,0,0,4,0,0,1,0,1,0,0,0,0,9,0,0,9,116,0,3,1,2,0,0,0,16,0,1,10,39,0,0,1,0,0
 24-34,0,0,0.82,4.1,0.82,22.16,0,0,0,1.64,0.82,0,0,0,0,0,0,1.64,0,22.16,0,0,12.31,243.79,2.46,3.28,2.46,0,0,9.85,0,0,0.82,0,3.28,61.56,0,0,0.82,0,0
 36-46,0,0,0,4.03,0,53.98,1.61,0.81,0.81,8.86,0,0.81,0.81,0,0,0,0,0,0,13.7,0,0,8.06,220.75,0.81,0,0.81,0,0,6.45,0,0,1.61,0,0,53.17,0,0,0.81,0,0.81
 48-58,0,0,0,1.15,0,53.36,0.57,0,0.57,10.33,0,0,0,0,0.57,0,0,0,0.57,20.66,0,0,2.87,164.11,1.15,0,0.57,0,0,5.74,0,0,0,0,0,41.31,0,0,1.72,0,1.15
 60-70,0,0,0,2.94,0.98,99.13,2.94,0.98,2.94,13.74,0.98,0,0,0.98,0.98,0,0,0,0,34.35,1.96,0.98,6.87,217.9,0.98,0,0,0,0,4.91,0,0,0,0,0,37.3,0,0,1.96,0,0
 72-82,0,0,0,5.89,1.96,59.88,0,0,4.91,15.71,0,0,0,0.98,0,0,1.96,0.98,0,36.32,0.98,0,0.98,125.65,0,0.98,0,0,0,3.93,0,0,0,0,0,12.76,0.98,0.98,1.96,0.98,0.98
 84-94,0,0,0,6.37,1.06,35.05,0,1.06,1.06,16.99,1.06,1.06,0,3.19,2.12,2.12,1.06,1.06,1.06,16.99,1.06,2.12,3.19,69.03,1.06,1.06,1.06,0,0,19.12,0,0,0,0,0,4.25,0,0,0,0,1.06
 96-106,0,0,0,6.56,3.28,24.04,0,1.09,0,16.39,7.65,0,0,1.09,0,3.28,0,1.09,0,20.76,1.09,0,2.19,42.62,0,2.19,2.19,0,0,9.84,0,0,1.09,0,0,2.19,1.09,0,6.56,0,0
108-118,0,0,0,6.89,3.06,22.98,0,0,0.77,13.79,2.3,0,0.77,1.53,0,2.3,0,0,0,21.45,0.77,0.77,2.3,68.17,0,2.3,1.53,0,1.53,6.89,0,0,0,1.53,0,3.06,0,1.53,2.3,0,0
120,0,0,0,9.8,0,17.64,0,0,0,3.92,9.8,0,0,1.96,0,0,0,5.88,0,21.56,0,0,0,56.83,1.96,0,3.92,0,0,3.92,0,0,0,1.96,0,0,0,0,1.96,1.96,0
