stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,790.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,13,0,1,5,2,1,4,4,0,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,0,1.64,10.67,0,0,7.39,0,0,0,2.46,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,1.61,0,0,0,0,0,0,0,0,4.83,0,0,0.81,12.89,0,0,6.45,0,0,0,2.42,0.81,0,0,0
 48-58,0,0,0,0,0,4.59,0.57,0,0.57,0.57,0,0,0,0,0,0,2.3,0,0,2.3,13.77,0.57,0,4.59,0,0,0,1.72,0,0,0,0
 60-70,0,0,0,0.98,0,7.85,0,0,0.98,0,0,0.98,0,0,0,0,1.96,0.98,0,0.98,5.89,0,0,3.93,0,0,0,1.96,0,0,0,0.98
 72-82,0,0,0,0,2.94,7.85,0,0,1.96,0,0,0,0.98,0,0.98,0,7.85,0,0,0,5.89,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,1.06,3.19,0,0,1.06,0,1.06,0,0,0,0,0,1.06,0,0,0,0,1.06,0,14.87,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,2.19,2.19,4.37,0,0,0,1.09,0,0,1.09,1.09,0,0,3.28,0,1.09,0,1.09,0,0,8.74,0,0,0,0,0,3.28,0,1.09
108-118,0,0,0,0.77,0,6.13,0.77,0,0.77,0,0,0,0,0,0.77,0.77,6.13,0,0,0.77,6.13,0,0,8.43,0,0.77,0,0.77,0,1.53,0.77,0
120,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,5.88,0,0,0,0,0,0,1.96,0
