stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,12.26,398.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,12.26,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,21.03,10.51,0,10.51,0,0,0,26.29,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,257.61,13.14,0,0,157.72,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,25.18,0,0,0,59.79,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,295.82,15.73,0,0,157.35,0,0,0,37.76,0,0,0,0,0,0,0
 14-21,0,0,0,2,23,4,0,13,0,0,0,3,0,0,0,0,2,0,0,0,0,5,0,0,11,105,3,0,4,3,0,2,20,1,17,37,0,0,4,0,0
 24-34,0,0,0,1.64,13.13,0,0,24.63,0,0,0.82,3.28,0,0,0,0,0.82,0,0,0,0,30.37,0,0,13.95,169.92,6.57,1.64,0.82,0,0,13.13,0,0,4.1,49.25,0,0,9.85,0,1.64
 36-46,0,0,0,0,4.83,0,0,50.76,0,0.81,2.42,13.7,0,0,1.61,0.81,0.81,0.81,0.81,0.81,4.03,29.81,0,0,7.25,209.47,0,2.42,3.22,0,0,16.11,0,0,0,62.84,0,0.81,4.03,0,0.81
 48-58,0,0,0,0,4.59,0,0,48.77,0,0,2.87,18.36,0,0,0,0,0.57,0,0.57,0,1.15,42.46,1.15,1.15,9.75,135.99,1.72,1.72,3.44,0,0,8.03,0,0.57,0,31.56,0,0.57,5.16,0,4.02
 60-70,0,0,0,0,6.87,0.98,0,106.99,0,1.96,2.94,29.45,1.96,0,0,0.98,0,0.98,3.93,0,0.98,76.56,1.96,1.96,8.83,185.51,0,3.93,4.91,0,0.98,10.8,0,0.98,0,46.13,0,0.98,6.87,0.98,2.94
 72-82,0,0,0.98,0,7.85,3.93,0,66.75,0,0,3.93,27.49,1.96,0,1.96,1.96,0.98,0,0.98,0,0.98,81.48,0.98,0,2.94,138.41,1.96,1.96,2.94,0,0,8.83,0,0.98,0,10.8,0.98,2.94,11.78,0,4.91
 84-94,0,0,1.06,0,11.68,6.37,0,43.54,1.06,4.25,2.12,9.56,3.19,0,0,5.31,1.06,1.06,1.06,0,1.06,35.05,3.19,0,4.25,59.47,3.19,6.37,2.12,0,0,42.48,0,1.06,0,9.56,0,1.06,5.31,1.06,0
 96-106,0,0,1.09,0,5.46,8.74,0,32.79,0,4.37,2.19,20.76,4.37,0,0,6.56,1.09,2.19,2.19,0,1.09,43.71,0,1.09,3.28,63.39,0,2.19,1.09,0,2.19,38.25,0,0,0,4.37,1.09,4.37,10.93,4.37,1.09
108-118,0,0,0,0,9.19,2.3,0.77,23.74,0,3.06,3.83,13.79,4.6,0,0,2.3,3.83,2.3,0.77,0.77,0.77,34.47,2.3,0,7.66,58.98,0.77,2.3,3.83,0,0,16.85,0,0,0,5.36,2.3,0.77,8.43,1.53,3.06
120,0,0,0,0,19.6,1.96,0,23.52,1.96,5.88,1.96,3.92,1.96,0,1.96,5.88,1.96,1.96,3.92,1.96,0,25.48,0,1.96,0,52.91,0,5.88,3.92,0,0,15.68,0,1.96,0,1.96,1.96,0,7.84,1.96,0
