stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,658.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,1,0,0,4,0,0,1,0,3,1,0,3,5,0,0,0,0,0,1,5,1,9,3,0,0,2,0,1
 24-34,0,0,0.82,0.82,0,4.93,0,0.82,0,0,0,0,0,10.67,3.28,0,1.64,0,9.03,0,0,3.28,12.31,0,0,0,0,0.82,0,0,0,7.39,3.28,0,0,2.46,0,0
 36-46,0,0,0,0,0,18.53,0,0,1.61,0,0.81,0.81,0,2.42,8.06,0,0.81,1.61,24.98,0.81,0,3.22,49.95,1.61,0,0,0,1.61,0,0,0,0,10.47,0,0,3.22,0,0
 48-58,0,0,0,0.57,0,35.58,1.15,0.57,0,0,0,0,0,0.57,9.75,0.57,0.57,0,36.72,0,0.57,4.02,66.56,0,0,0,0,1.15,0,0,0.57,0,3.44,0,0,1.15,0,1.15
 60-70,0,0,0,0.98,0,55.95,0.98,0,0.98,0,0,0.98,0,0,14.72,0,0,0.98,93.24,0.98,0.98,10.8,116.8,0,0,0,0.98,6.87,0,0,0,0,14.72,0,1.96,1.96,0.98,0
 72-82,0,0,0,1.96,0,34.36,0,0,2.94,6.87,0,2.94,1.96,1.96,11.78,4.91,0,0,159.03,0,1.96,10.8,117.8,0,0,0,0.98,14.72,0,0,0,0,15.71,0,3.93,8.83,0,0
 84-94,0,0,0,4.25,0,20.18,1.06,1.06,0,1.06,0,1.06,1.06,2.12,12.74,1.06,4.25,0,65.85,0,1.06,8.5,64.78,0,1.06,0,0,21.24,0,0,2.12,0,2.12,0,4.25,6.37,2.12,0
 96-106,0,0,0,9.84,1.09,18.58,1.09,2.19,1.09,7.65,1.09,5.46,1.09,2.19,13.11,0,7.65,1.09,85.24,2.19,7.65,18.58,45.9,2.19,0,0,2.19,56.83,0,0,2.19,0,4.37,2.19,3.28,6.56,7.65,0
108-118,0,0,0,5.36,1.53,9.96,2.3,3.06,1.53,9.96,3.06,1.53,3.83,0.77,22.21,1.53,5.36,1.53,71.23,1.53,2.3,18.38,63.57,1.53,0,0,0.77,26.81,0,0,0.77,0,0.77,0,3.06,5.36,2.3,0.77
120,0,0,0,3.92,0,13.72,1.96,0,1.96,3.92,1.96,0,0,3.92,1.96,0,7.84,0,62.71,3.92,5.88,29.4,39.2,0,0,0,0,31.36,0,0,0,0,1.96,0,5.88,9.8,1.96,0
