stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,52.71,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0
  5-6,24.52,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,2,2,0,0
 24-34,0,0,0,0.82,0.82,0,0,0,0.82,0,0,0,0,0,0,11.49,0,0,0,2.46,0,0,3.28,0,0
 36-46,0,0,0,0,2.42,0.81,0,0.81,0,0.81,0,0,2.42,0,0,17.72,0,0,0,3.22,0,0,8.86,0.81,0
 48-58,0,0,0,0.57,2.3,0,0,2.87,0,0,0,0,3.44,0,1.72,15.49,0,0,0,2.3,0,0,2.3,0.57,0
 60-70,0,0,0,0.98,10.8,0,0,0.98,0,0,0,0,7.85,0,0.98,15.7,0,0.98,0,2.94,0,0,0,0,0
 72-82,0,0,0.98,0.98,2.94,0,0.98,0.98,0.98,0,0,0,3.93,0,1.96,16.69,0,0,0,2.94,0,0,5.89,0,0
 84-94,0,0,0,1.06,2.12,0,0,3.19,0,0,1.06,2.12,0,0,0,6.37,0,0,0,7.43,0,0,0,0,0
 96-106,0,0,0,1.09,2.19,0,0,0,1.09,0,0,0,0,0,0,3.28,0,0,0,7.65,0,0,1.09,1.09,1.09
108-118,0,0,0.77,1.53,0.77,0.77,0.77,2.3,0.77,0,0.77,0,0,0.77,0,3.83,0.77,0,0,6.13,0.77,0,0.77,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,3.92,0,0,11.76,0,0,1.96,1.96,0,0,0,0,0
