stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,32,5,14,0,0,0,1,3,1,0,1,0,0,0,0,1,10,0,0,9,123,3,0,0,2,0,3,1,21,0,1,18,44,0,0,2,0,0
 24-34,0,0,1.64,8.21,0,20.52,0,0.82,0,4.1,0.82,0,0.82,0.82,1.64,0.82,0.82,0,0,17.24,0,0,7.39,137.9,2.46,0,1.64,0,0,5.75,0,0,0,0.82,4.93,24.63,0,0,2.46,0,0
 36-46,0,0,0,4.03,0,36.26,0,0.81,1.61,8.86,0.81,0,0,0.81,0,0,0,1.61,0,21.75,1.61,0.81,4.03,165.16,0.81,3.22,1.61,0,0,12.09,0,0,0,0,0,27.39,0,0,3.22,0,0.81
 48-58,0,0,0,2.3,0,42.46,0,0,2.87,14.92,0.57,0,0.57,3.44,0,1.15,2.3,0,0,31.56,1.15,1.72,4.59,70.58,0.57,1.15,1.15,0,0,4.59,0,0,0,0,0,17.21,0,0.57,2.87,0,1.15
 60-70,0,0,0,5.89,0,73.61,0,1.96,2.94,31.41,0,0,0,1.96,0,0,0.98,1.96,0.98,55.95,0,2.94,7.85,91.28,0.98,3.93,0,0,0,22.58,0,0,0,0,0,8.83,0,0.98,1.96,0.98,1.96
 72-82,0,2.94,0,13.74,2.94,92.28,0,2.94,5.89,108.96,3.93,0,1.96,11.78,0.98,2.94,2.94,0.98,0,131.54,1.96,5.89,12.76,126.63,0,7.85,5.89,0,0,16.69,0,0,1.96,0,0,12.76,0,1.96,10.8,0.98,0.98
 84-94,0,0,0,11.68,1.06,61.6,0,0,8.5,49.92,4.25,0,2.12,9.56,3.19,1.06,2.12,3.19,3.19,66.91,0,2.12,7.43,57.35,2.12,3.19,0,0,1.06,35.05,0,0,1.06,0,0,9.56,2.12,2.12,10.62,1.06,2.12
 96-106,1.09,0,0,20.76,4.37,51.36,1.09,4.37,5.46,62.29,10.93,0,6.56,24.04,3.28,4.37,1.09,2.19,0,96.17,2.19,2.19,6.56,57.92,2.19,4.37,9.84,0,2.19,37.16,0,0,2.19,0,0,10.93,2.19,3.28,4.37,2.19,3.28
108-118,0,0.77,0,17.62,1.53,31.4,2.3,3.06,3.83,47.49,6.13,0,0.77,14.55,1.53,4.6,4.6,0.77,0,72,2.3,2.3,10.72,66.64,0.77,3.83,1.53,0,0.77,29.87,0,0,1.53,0.77,0,3.06,2.3,1.53,7.66,0.77,4.6
120,0,0,0,23.52,3.92,33.32,3.92,7.84,1.96,45.08,7.84,0,1.96,31.36,1.96,5.88,0,1.96,1.96,52.91,0,3.92,19.6,66.63,5.88,5.88,3.92,0,1.96,72.51,0,0,0,0,0,1.96,1.96,1.96,1.96,7.84,0
