stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,487.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,563.93,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,7.89,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,42.06,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,5,0,0,55,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,503,0,10,0,0,0,0,1,1,1,260,0,0,0,0,0
 24-34,0,0.82,4.93,0,4.93,0,0,189.62,0,0,0,7.39,0,0,0.82,0,1.64,0,0,0.82,2.46,11.49,0,0,5.75,1739.39,1.64,45.97,3.28,0,0,0.82,0,0,0,456.4,0,0,0.82,0,0
 36-46,0,0,0,0,2.42,0.81,0,242.51,0,0.81,0,27.39,0.81,0,0.81,0.81,0,0.81,0,1.61,5.64,17.72,0,0,0,2887.52,0.81,59.62,1.61,0,0,3.22,0.81,0,0.81,630.84,0,0,2.42,0,2.42
 48-58,0,0,0,0.57,9.75,0.57,0,631.19,1.15,2.3,2.87,70.58,0.57,0,0,1.15,0,0,0.57,0.57,6.89,32.13,0.57,1.15,5.74,3065.84,1.15,31.56,5.16,0,0.57,4.02,0,0,0.57,569.79,0,0,4.02,0,5.16
 60-70,0,0,0.98,0,6.87,0,0,1115.99,0.98,0.98,0.98,73.61,0,0,0.98,0,0,0,0,0,1.96,29.45,0,1.96,0.98,3406.86,0,30.43,0,0,0,2.94,0,0.98,1.96,455.43,0,0,0.98,1.96,3.93
 72-82,0,0,7.85,0,22.58,3.93,0,1180.94,0.98,0.98,5.89,95.22,3.93,0,0,4.91,2.94,4.91,0.98,0.98,4.91,45.16,0,3.93,1.96,2682.88,1.96,56.94,7.85,0,0.98,4.91,0,0,0,220.87,0.98,4.91,0,9.82,4.91
 84-94,0,0,4.25,0,23.36,5.31,0,771.04,1.06,1.06,1.06,95.58,1.06,2.12,2.12,1.06,3.19,1.06,0,2.12,9.56,39.3,0,2.12,5.31,1384.9,3.19,48.85,9.56,0,0,5.31,0,0,2.12,140.19,1.06,2.12,3.19,15.93,0
 96-106,0,0,3.28,0,27.32,3.28,0,642.59,2.19,1.09,1.09,69.94,2.19,0,2.19,1.09,1.09,3.28,3.28,4.37,8.74,48.09,0,4.37,1.09,1102.68,0,92.89,9.84,0,0,12.02,0,0,1.09,59.01,0,4.37,3.28,16.39,5.46
108-118,0,0,3.06,0,16.09,4.6,2.3,511.66,1.53,0.77,0.77,48.26,3.06,0,0.77,0.77,0,6.13,0.77,0.77,6.89,23.74,0,3.06,6.13,1175.75,0,41.36,7.66,0,0.77,2.3,0,0.77,1.53,33.7,0.77,0,3.83,9.96,0.77
120,1.96,0,1.96,0,25.48,7.84,0,419.39,1.96,1.96,1.96,64.67,0,0,1.96,3.92,0,0,0,1.96,1.96,35.28,0,1.96,5.88,1275.82,1.96,43.12,3.92,0,0,7.84,0,0,0,45.08,0,1.96,3.92,7.84,1.96
