stage,blastomeres,epidermis,eye,fast_muscle,glial,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,periderm,somites,spinal_cord,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0.81,0.81,0,0,0.81,0.81,0.81,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,0,0,0,0,0,2.3,0.57,0,0,0.57,0,0
 60-70,0,0,0.98,0.98,0,0,0.98,0,0,0,0,0,1.96,0,0,0,0.98,0,0
 72-82,0,0,0.98,0,0,0,0,0,0.98,0,0.98,0,4.91,0,0,0,0,0,0.98
 84-94,0,0,2.12,0,0,1.06,0,0,0,1.06,0,1.06,2.12,0,2.12,0,0,0,0
 96-106,0,1.09,3.28,0,2.19,0,0,0,0,0,0,0,4.37,0,1.09,0,0,1.09,0
108-118,0,0,0.77,0,0.77,0,0,0.77,0.77,0.77,0,0,0.77,0,0.77,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96
