stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,neural,periderm,pronephros,spinal_cord,vasculature,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,10.67,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,1.61,0,46.73,0.81,0,2.42,0,0
 48-58,0.57,0,1.15,0,0.57,0,0,0,0,1.72,0,40.74,0.57,0,1.72,0,0.57
 60-70,1.96,0,2.94,0,1.96,0,0,0,0,1.96,0,58.89,0,0,0.98,0,0
 72-82,0.98,0.98,9.82,0.98,1.96,0,0,0,0.98,5.89,0,112.89,0,0,1.96,0.98,0
 84-94,1.06,0,7.43,0,3.19,0,1.06,0,0,6.37,0,66.91,0,0,0,0,0
 96-106,4.37,1.09,5.46,0,2.19,1.09,0,1.09,0,6.56,0,78.68,1.09,1.09,4.37,1.09,0
108-118,2.3,0.77,8.43,0.77,1.53,0.77,0.77,0,0,8.43,0,123.32,1.53,0,0,0,0
120,0,0,15.68,0,3.92,1.96,0,0,0,0,1.96,121.51,0,0,0,0,0
