stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,melanocytes,mesenchyme,mural_cell,neural,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,3.93,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,8.83,0,0,0.98,0.98,28.47,0,0,0,5.89,0,0,0,0,0,0
 84-94,0,5.31,1.06,1.06,0,0,67.97,0,0,0,1.06,0,0,0,1.06,0,1.06
 96-106,0,7.65,0,0,2.19,1.09,115.84,1.09,1.09,1.09,12.02,0,0,1.09,0,1.09,1.09
108-118,0,8.43,1.53,0.77,0.77,0,89.62,0,0.77,0,7.66,0.77,0,0,0,0,0
120,0,1.96,0,0,1.96,0,45.08,0,0,0,11.76,0,0,0,0,0,0
