stage,epidermis,eye,fast_muscle,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,1,2,0,0
 24-34,0.82,0,0,0,0.82,0,1.64,1.64,0,0.82,0,0.82,2.46,0
 36-46,0,0,0,0,0,0.81,2.42,0,0,0,0,0,1.61,0
 48-58,0,0,0,0,1.15,0,0,1.15,0,0,0,0,0.57,0
 60-70,0,0.98,0,0,0.98,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,1.06,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,0,3.28,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0.77,0,3.83,1.53,0,0,0,0,0,0,0,0
120,1.96,0,0,0,3.92,0,0,0,0,0,0,0,0,0
