stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,2.63,0,0,0,10.51,0,0,0,0,0,0,0,0,0,52.57,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,34.62,9.44,0,0,9.44,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,7,1,1,0,0,1,0,3,0,0,0,0,0,5,0,2,39,0,0,3,0,0,0,1,1,0,30,1,0,0
 24-34,0,0,0.82,3.28,0,1.64,0,0.82,1.64,0,3.28,0,0,0,0,0,3.28,0,7.39,60.74,0,0.82,0.82,0,0,0,0,0,0,23.8,1.64,0,0.82
 36-46,0,0,0,2.42,0,5.64,0,1.61,0,0,0,0,0,0,0,0,4.83,0.81,1.61,38.67,0,0,0,0,0,0.81,0,0,0,6.45,0,0,0
 48-58,0,0,0,0,0,3.44,0,0,1.15,0,0,0,0,0.57,0,0,3.44,0.57,1.15,23.53,0,0.57,0.57,0,0,0,0,0,0,4.02,1.15,0,0
 60-70,0,0,0,0,0,8.83,0,0.98,2.94,0,0,0,0,0,0,0,0.98,0,0.98,5.89,0,0,0.98,0,0,0.98,0,0,0,1.96,0,0,0
 72-82,0,0,0,0,1.96,1.96,0,0,5.89,0,0.98,0.98,0,0,0,0,7.85,0,0.98,12.76,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,0,1.06,4.25,0,0,1.06,0,0,3.19,1.06,0,1.06,0,1.06,0,1.06,4.25,0,0,0,0,0,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,0,2.19,5.46,0,1.09,1.09,0,0,2.19,0,0,0,0,6.56,2.19,0,12.02,0,0,1.09,0,1.09,1.09,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0.77,3.83,0.77,0.77,1.53,0,0,1.53,0,0,0,0.77,2.3,0,0.77,7.66,0,0,1.53,0,0,0,0,0,0,0,0,3.06,0
120,1.96,0,0,1.96,1.96,5.88,0,0,0,0,0,5.88,0,0,0,0,3.92,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0
