stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,77,0,0,0,0,1,0,0,0,0
 24-34,0.82,5.75,0,2.46,0,0,0,0,0,0,0,0.82,0,0,5.75,0,0,0,5.75,0,0,0,186.33,0,0,1.64,0.82,1.64,0,0.82,0,0
 36-46,0,8.86,0,1.61,0,2.42,0,0.81,0,0,0,0.81,0.81,0,6.45,2.42,0,2.42,8.06,0,0,0,261.84,0,0,2.42,0,0.81,0,0,0,0
 48-58,0,4.59,0,7.46,1.15,12.05,0,1.72,0,0.57,0.57,0.57,0,0,9.75,4.02,1.72,3.44,19.51,0.57,0,0.57,329.94,0,0,12.62,0,3.44,0,0,0,0
 60-70,0,5.89,0,5.89,0.98,12.76,0.98,4.91,0,0,0.98,0,0,0,20.61,0.98,2.94,2.94,12.76,0,1.96,0,250.29,0,0,8.83,0,3.93,0,0,0,0
 72-82,0,10.8,0,5.89,0.98,15.71,0,1.96,0,0,0,1.96,0,0,35.34,1.96,7.85,2.94,13.74,0,0.98,0,209.09,0,0,3.93,0,1.96,0,1.96,0,0.98
 84-94,0,10.62,2.12,8.5,6.37,40.36,0,2.12,1.06,0,2.12,10.62,0,0,21.24,4.25,3.19,5.31,4.25,0,0,0,468.36,0,0,3.19,0,0,0,1.06,1.06,0
 96-106,0,36.06,2.19,1.09,3.28,59.01,1.09,4.37,3.28,1.09,2.19,7.65,0,0,30.6,1.09,10.93,6.56,13.11,0,1.09,0,373.75,0,0,3.28,0,1.09,1.09,2.19,0,0
108-118,0,22.21,0,1.53,2.3,54.38,0,0,0.77,0,0.77,7.66,0,0,21.45,4.6,6.13,9.96,6.89,0,1.53,0,187.66,0,0.77,0,0,0,1.53,0,0,0
120,0,7.84,0,1.96,1.96,35.28,0,0,0,0,0,3.92,0,1.96,19.6,1.96,1.96,3.92,5.88,0,0,0,156.78,1.96,0,1.96,0,0,1.96,0,0,0
