stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0,2.46,0,0,0,0,0,0.82,0,0,0.82,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,3.22,0,0,7.25,0,0.81,0,7.25,0,0.81,0,0,0,7.25,0,0,0,0,0,1.61,0,0,0,0,0,0,1.61,0,0
 48-58,0,0,0.57,0.57,0,0,2.3,0,0,0,1.15,6.31,0,0,5.16,0,0,0,18.94,1.15,1.72,0,0,0,16.64,0,0,0,0,0,0.57,0,0,0,4.59,0,0,0,0,1.15
 60-70,0,0,0,0,0,0,11.78,0.98,0,0,0.98,8.83,0,0,6.87,0,0,0,44.17,0.98,7.85,0,0,1.96,17.67,0,0,0,0,0.98,0.98,0,0,0,1.96,0,0,0,0,0.98
 72-82,0,0,0,0.98,1.96,0,31.41,0,0,0,8.83,5.89,0,0,1.96,0.98,0,0,122.71,0,20.61,0.98,0,4.91,71.66,0,1.96,1.96,0,0,7.85,0.98,0.98,0,6.87,0,0.98,1.96,0.98,2.94
 84-94,0,0,0,2.12,4.25,0,15.93,0,0,0,3.19,14.87,0,0,2.12,1.06,3.19,0,267.63,2.12,3.19,1.06,0,2.12,28.68,1.06,0,4.25,0,0,6.37,0,0,0,0,2.12,1.06,0,0,0
 96-106,0,1.09,0,17.49,22.95,2.19,81.96,2.19,5.46,1.09,37.16,15.3,0,0,12.02,3.28,6.56,0,584.67,1.09,59.01,1.09,5.46,3.28,210.92,3.28,2.19,4.37,0,4.37,40.44,2.19,3.28,0,6.56,1.09,0,9.84,2.19,5.46
108-118,0,0.77,0,17.62,8.43,5.36,63.57,0,3.06,4.6,21.45,8.43,0.77,1.53,8.43,0,3.83,1.53,762.9,1.53,59.75,0.77,1.53,4.6,219.07,3.06,2.3,4.6,0,3.06,17.62,2.3,0.77,0,2.3,1.53,0.77,4.6,0.77,3.83
120,0,0,0,15.68,11.76,3.92,25.48,0,1.96,1.96,9.8,1.96,0,0,15.68,0,1.96,0,587.94,0,29.4,0,0,3.92,127.39,0,0,3.92,0,0,13.72,0,0,0,0,3.92,0,0,0,3.92
