stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,1673.6,24445.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1067.41,0,0,0,0,0,0,0,0,0,0
  5-6,1753.08,20215.54,0,36.78,0,0,0,0,0,0,0,0,42.91,0,0,0,0,0,0,0,0,0,0,0,404.56,49.04,0,0,147.11,0,502.63,0,0,0,0,0,0,0,0,0,0
  7-9,86.75,99.89,0,168.24,0,0,155.09,0,0,0,0,0,63.09,0,0,0,0,0,0,0,0,0,0,0,3130.8,97.26,0,0,1098.8,0,7.89,52.57,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,3.15,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.26,9.44,0,0,44.06,0,0,28.32,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,12,23,7,0,0,0,0,1,0,0,1,0,0,0,0,1,68,1,0,54,49,1,1,1,0,0,38,8,36,0,19,89,18,0,0,0,0
 24-34,0,0,0.82,0,7.39,1.64,3.28,0,0.82,7.39,0,4.93,0,0,1.64,0.82,0,0.82,0,0.82,78.8,0,0,70.59,42.68,3.28,3.28,0,0,0,206.86,1.64,0.82,0,1.64,16.42,23.8,0,3.28,0,9.03
 36-46,0,0,0,0,0.81,0,4.03,0,0.81,37.06,1.61,0.81,0,0.81,1.61,0,0,0,0.81,0,150.66,1.61,0,51.56,41.09,4.83,0,0.81,0,0,166.77,5.64,0.81,0,0,0.81,16.92,0,1.61,0,14.5
 48-58,0,0,0,0,0.57,0.57,14.92,0.57,2.3,63.12,3.44,0,1.15,0.57,1.15,0,0,0,0,1.15,120.5,0,0.57,35,25.82,4.59,0,0,0,0,112.47,0.57,0,0,0,0,12.05,0,0,0,7.46
 60-70,0,0,0,0,2.94,0,43.19,1.96,1.96,77.54,40.24,0,0.98,0,0,0.98,0.98,1.96,0,0,187.47,0,0,23.56,56.93,2.94,0.98,0.98,0,0.98,110.91,0.98,0,0.98,0,0,34.35,2.94,0.98,0,10.8
 72-82,0,0,0,0,4.91,0,86.39,1.96,0,133.51,126.63,0.98,0.98,0,0.98,2.94,0.98,0,0,0,341.62,1.96,0,52.03,75.59,3.93,0,4.91,0,0,176.7,0.98,0,0,0,0,26.5,0.98,1.96,0,12.76
 84-94,0,0,0,0,10.62,1.06,71.16,1.06,5.31,106.2,93.46,0,0,0,1.06,5.31,0,0,0,1.06,266.57,5.31,0,29.74,45.67,11.68,1.06,4.25,0,1.06,477.92,0,0,1.06,1.06,0,14.87,4.25,1.06,1.06,9.56
 96-106,0,0,1.09,0,38.25,2.19,132.23,1.09,7.65,80.87,139.88,2.19,0,0,4.37,8.74,0,0,0,1.09,432.77,3.28,2.19,30.6,73.22,5.46,3.28,7.65,0,3.28,401.07,2.19,0,0,0,0,18.58,4.37,3.28,3.28,9.84
108-118,0,0,0.77,0.77,27.57,0.77,112.6,0.77,6.89,72.77,125.62,0.77,0,0,5.36,6.89,1.53,0.77,0,1.53,397.53,4.6,1.53,37.53,54.38,9.19,2.3,9.96,0,2.3,304.85,1.53,0,1.53,2.3,0,16.85,1.53,3.83,0,9.96
120,0,0,0,0,33.32,0,166.58,0,9.8,47.03,68.59,1.96,0,0,1.96,5.88,0,1.96,1.96,0,319.45,7.84,0,31.36,60.75,11.76,3.92,5.88,0,0,256.73,1.96,0,0,0,0,9.8,0,1.96,0,1.96
