stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,lateral_line,mesenchyme,mural_cell,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,5.26,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,12.59,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,0,0,0,0,0,0,0,0,1,47,0,0,1,2,2,0,0,0,0
 24-34,0,0.82,0,8.21,0,0,0,0,0.82,0,0,0,0.82,14.78,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0.81,15.31,0,0,0,0,0,0,2.42,0,5.64,0,0,0,0,0,0.81,0,0.81,0,0
 48-58,0,0,0,21.8,0,0,0.57,0,0,0,0,0,11.48,0,0,0,0,0,0.57,0.57,0.57,0,0
 60-70,0,0,0,26.5,0,0.98,0,0,0,0,1.96,0,11.78,0,0,0.98,0,0,3.93,0,0,0,0
 72-82,0,0,0.98,14.72,0,0,0.98,0,0,0,2.94,2.94,14.72,0,0,0,0,0,0,0,0,0.98,0.98
 84-94,0,0,1.06,28.68,0,0,1.06,0,0,0,5.31,0,5.31,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,12.02,0,0,0,0,0,0,3.28,0,7.65,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,6.89,0.77,0,0,0,0,0.77,3.83,0,4.6,0,0,0,0,0,0,0.77,0.77,0,0
120,0,0,1.96,0,0,0,0,0,1.96,0,1.96,0,5.88,0,0,0,0,0,0,0,0,0,0
