stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,39.53,619.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,42.91,698.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,6.13,0,6.13,0,0,0,0,0,0
  7-9,2.63,2.63,18.4,0,0,26.29,0,0,0,2.63,0,0,0,0,0,0,0,0,178.75,5.26,0,0,23.66,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,97.56,3.15,0,0,59.79,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,4,0,2,0,2,0,0,0,0,0,0,3,0,0,4,54,3,1,1,1,0,0,5,2,5,30,1,0
 24-34,0,0,0.82,0.82,0,9.85,0,0.82,0,0,0,0,0,0.82,8.21,0,0,1.64,91.94,0,0,0.82,0,0,2.46,0,0,1.64,19.7,0.82,0
 36-46,0,0,0,1.61,0,18.53,0,4.83,0,0,0.81,0,0,0,2.42,0,0,2.42,44.31,0,0.81,0,0,0.81,0.81,0,0,0,9.67,0,0
 48-58,0,0,0,1.15,0,13.77,0,4.59,0,0,0,0.57,0,0,6.31,0,0,1.72,22.95,0,0,0,0,0,1.15,0,0,0,6.31,0.57,0.57
 60-70,0,0,0,0,0,11.78,0.98,1.96,0,0,0,0,0,0,5.89,0.98,0.98,0,7.85,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,7.85,0,2.94,0.98,0,0,0,0,0.98,2.94,0,0,1.96,15.71,0,0,0.98,0,0,0.98,0,0,0,1.96,0,0
 84-94,0,0,0,1.06,0,4.25,1.06,2.12,0,0,0,0,1.06,0,8.5,0,1.06,1.06,7.43,0,0,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,1.09,4.37,0,3.28,0,1.09,0,0,0,0,0,0,5.46,0,0,0,4.37,0,0,0,0,0,0,0,1.09,0,1.09,1.09,0
108-118,0,0,0,1.53,0,2.3,0,4.6,0,0,0,0,0,0,3.06,0,0,0.77,6.13,0,0,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,1.96,1.96,5.88,0,5.88,0,0,0,0,0,0,3.92,0,0,1.96,9.8,0,0,0,0,0,1.96,0,0,0,1.96,1.96,0
