stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,ionocyte,mesenchyme,mucous,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,1,0,3,0,1,0,0,4,0,0,2,2,0,0
 24-34,0,0.82,0,5.75,0,0,0.82,0,1.64,1.64,0,4.93,0,0,0,0,0,0,2.46,2.46,2.46,0,0
 36-46,0,0,0,8.86,0,0,0,0,0,0.81,0,4.03,0,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,4.02,0,0.57,0,0,0,2.87,0.57,4.59,0,0,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,5.89,0,0.98,3.93,0,0,0,0,4.91,0,0,0,0.98,0,0,0,0,0.98,0,0.98
 72-82,0,0,0.98,6.87,0.98,0,0,0,0,1.96,0,2.94,0.98,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,2.12,6.37,0,0,0,1.06,0,2.12,0,3.19,0,1.06,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,3.28,0,0,2.19,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,1.53,3.06,0,0,0,0,0,0.77,0.77,0.77,0,0,0,1.53,0,0.77,0,0,0,0,0
120,0,0,0,7.84,0,0,3.92,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
