stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,7.89,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,99.89,5.26,0,0,36.8,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,138.47,0,0,0,18.88,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,5,4,0,0,6,0,0,0,0,0,0,7,0,2,119,0,0,0,1,0,0,0,9,1,3,29,0,0,0,0
 24-34,0,0,0,2.46,0,18.88,0,0,13.13,0,0,0,0,0,0,13.95,0,6.57,193.72,0.82,0,0,0,0,0,0,0,0,0,45.15,0,0,0,0
 36-46,0,0,0,0.81,0,38.67,0,0,8.06,0,0,0.81,0,0.81,0,9.67,0,3.22,95.87,0.81,0,3.22,0,0,0.81,0,0,0,0,30.62,0,0.81,0,0
 48-58,0,0,0,0,0.57,38.44,0,0.57,5.74,0,0.57,0,0,0,0,11.48,1.72,3.44,43.04,0.57,0.57,0,0,0,0,0,0,0,0,10.9,0,1.72,0,0
 60-70,0,0,0,0,0,15.7,0,0.98,8.83,0,0,0,0,0,0,18.65,0.98,0.98,29.45,0.98,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0.98,0,17.67,0,2.94,13.74,0,0,0,0,0,0.98,27.49,0.98,4.91,28.47,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0.98,0
 84-94,0,0,0,1.06,1.06,8.5,0,0,10.62,0,0,0,0,0,0,20.18,1.06,4.25,24.43,0,0,2.12,0,0,0,0,0,0,0,0,0,5.31,0,0
 96-106,0,0,0,0,0,8.74,0,1.09,12.02,0,0,0,1.09,0,0,13.11,0,4.37,28.41,0,0,1.09,0,0,0,0,0,0,0,2.19,1.09,2.19,0,0
108-118,0,0,0,0.77,0,6.89,0.77,0.77,6.89,0,0,0.77,0,0,0.77,18.38,1.53,3.06,31.4,0,0,0.77,0,0.77,0.77,0,0,0,0,0,0,0.77,0.77,0.77
120,0,0,0,0,1.96,13.72,0,0,9.8,0,0,1.96,0,0,0,9.8,1.96,1.96,17.64,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0
