stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,21.03,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,3,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,1,0,0
 24-34,0,0,0.82,0.82,0.82,0,0,0,0,0,0,0,1.64,15.6,0,0.82,0,0.82,0,0,0,1.64,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,1.61,0,0.81,13.7,0.81,0,0,0.81,0,0,0,4.03,0.81
 48-58,0,0,1.15,0,3.44,0.57,0.57,1.72,0.57,0,2.3,0,0,15.49,0,0,0,0.57,0,0.57,0,0.57,0
 60-70,0,0,0,0,10.8,0,0,0,0,0,2.94,0,0,8.83,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,1.96,0,0,0.98,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,0,1.06,0,0,0,0,7.43,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,2.19,0,0,0,0,0,0,0,2.19,4.37,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0.77,0,1.53,0,0,0.77,0,0,0,0,0.77,3.06,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0
