stage,endocrine_pancreas,epidermis,eye,glial,gut,hatching_gland,ionocyte,lateral_line,mesenchyme,mucous,neural,olfactory,otic,periderm,somites,spinal_cord,taste
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,0,0,2.46,0.82,0.82,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,1.61,0,0.81,4.03,0,0.81,0,0,0,0
 48-58,0,0.57,3.44,0,0,0,0.57,1.15,0,3.44,3.44,0.57,1.15,0,0,0,0
 60-70,0,0,8.83,0,0,0,0,1.96,0,0.98,13.74,0,6.87,0,0,1.96,0.98
 72-82,1.96,0.98,7.85,0,0.98,0,0,1.96,0.98,5.89,11.78,0,10.8,0,0,0,2.94
 84-94,1.06,1.06,3.19,1.06,3.19,0,0,2.12,0,3.19,7.43,0,18.05,0,0,0,5.31
 96-106,0,1.09,4.37,4.37,6.56,0,0,4.37,3.28,3.28,9.84,0,24.04,1.09,0,0,25.14
108-118,0.77,0,2.3,0,4.6,0,0.77,1.53,0,6.13,6.13,0,13.79,0,0,0,26.81
120,0,3.92,1.96,0,1.96,0,0,3.92,1.96,5.88,5.88,0,7.84,0,0,0,9.8
