stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,1,364,0,0,0,0,1,2,0,0,1,0,0,0,1,8,0,0,0,0,1,3,14,0
 24-34,0,324.24,1.64,0,1.64,0,0,13.95,0,0,0,0.82,5.75,0,3.28,22.16,0,0,0,4.1,0.82,1.64,45.15,0
 36-46,0,45.92,4.03,0,0,0,0,7.25,0,0,0,0,0.81,0,0.81,12.89,1.61,0,0,0,0,0.81,16.92,0
 48-58,0.57,44.76,5.74,0,0,0,0,6.31,0,0,0,0,1.72,0,0.57,6.89,0,0.57,0,0,0,0.57,9.75,0
 60-70,0,55.95,11.78,0,0.98,0,0,4.91,0.98,0,0,0,6.87,0,0.98,4.91,0,0,0,0,0,0,9.82,0
 72-82,0,117.8,22.58,0,0,2.94,0,7.85,0,0,0,0,6.87,0,0,5.89,0,0,0,0.98,0,0.98,5.89,0
 84-94,0,94.52,8.5,0,1.06,0,0,26.55,0,0,0,0,4.25,0,1.06,5.31,0,0,0,0,0,0,9.56,0
 96-106,1.09,89.61,7.65,1.09,1.09,0,0,42.62,0,1.09,0,0,7.65,1.09,0,5.46,0,0,0,1.09,0,0,5.46,1.09
108-118,0,60.51,6.89,0,0,0.77,0,29.11,0,0,0,0,2.3,0,0,4.6,0,0,0,1.53,0,0,3.83,0
120,0,88.19,7.84,0,0,1.96,0,25.48,0,1.96,0,1.96,1.96,0,1.96,9.8,0,0,0,0,0,0,3.92,0
