stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,5.26,0,0,0,0,0,0
 10-12,3.15,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,43,6,0,0,0,0,3,4,0,0,53,0,8,11,1,2,0,0,1,1,1,0,0
 24-34,0,0,24.63,0.82,2.46,0,0,0.82,1.64,9.85,0,0,58.28,0,19.7,12.31,0,0.82,0,0,0,0,1.64,0,0
 36-46,0,0,2.42,0,0,0,0,0,0.81,4.83,0.81,0.81,29,2.42,0.81,6.45,0,1.61,0,0.81,0,0,0.81,0,0.81
 48-58,0,0,2.3,0,1.15,0.57,0.57,0,0,4.59,0,0,11.48,1.15,1.15,9.75,0,0.57,0,0.57,0,0,2.87,0,0
 60-70,0,0,0,0,1.96,0,0.98,0.98,0.98,2.94,0,0,12.76,0,0,7.85,0,1.96,0,0,1.96,0,1.96,0.98,0
 72-82,0,0,0,0,5.89,0,0,0,0,0,0,0,3.93,0,1.96,4.91,0,0,0,0.98,0,0,1.96,0.98,0
 84-94,0,0,0,0,1.06,0,0,0,0,1.06,0,0,4.25,0,1.06,1.06,0,1.06,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,3.83,0,0.77,0.77,0,1.53,0,0,0.77,0.77,0,0.77,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0
