stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,1,25,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,1,67,15,0,1,0,0,0,3,1,0,42,0,0,0,0,0
 24-34,0,0,4.93,0,13.13,0,0,3.28,0,0.82,0,5.75,0,0,2.46,0.82,0,0,0,0,7.39,0,0,0.82,451.47,1.64,0,1.64,0,0,0,0,0,0.82,133.8,0,0,1.64,0,0
 36-46,0,0,4.03,0,6.45,0,0,12.89,0,1.61,0.81,9.67,0,0,3.22,0,0,0,0,0,1.61,0,0,3.22,1044.95,0,0.81,4.03,0,1.61,0,0,0.81,1.61,178.86,0,0,0.81,0,0.81
 48-58,0.57,0,1.72,0,11.48,0,0,183.04,0.57,0,5.74,45.9,0,0.57,1.15,0,0,0,0.57,0,15.49,0,0.57,6.89,2022.09,0.57,2.3,4.02,0,0.57,0,0,0,0,273.13,0,0,0.57,0,2.3
 60-70,0,0,3.93,0,9.82,0.98,0,515.3,0.98,0,7.85,84.41,2.94,0.98,3.93,0,0,0,1.96,1.96,53,0,0.98,5.89,3388.21,0.98,1.96,5.89,0,1.96,0,0,0.98,0,353.35,0,0.98,3.93,0.98,1.96
 72-82,0,0,12.76,0,27.49,2.94,0,835.39,2.94,0.98,12.76,115.84,7.85,0.98,3.93,0,3.93,0.98,0.98,0.98,128.6,0.98,1.96,11.78,3724.43,0,0.98,11.78,0.98,6.87,0,0,0,0,293.52,3.93,0.98,8.83,0.98,0.98
 84-94,0,0,16.99,0,40.36,2.12,0,546.95,1.06,3.19,5.31,90.27,4.25,0,2.12,0,3.19,2.12,1.06,1.06,77.53,0,6.37,9.56,1937.16,0,3.19,9.56,0,5.31,0,0,1.06,0,158.24,1.06,8.5,10.62,1.06,0
 96-106,0,0,19.67,0,59.01,3.28,0,457.9,0,1.09,12.02,78.68,6.56,0,6.56,0,3.28,0,3.28,0,86.33,0,2.19,4.37,1808.66,2.19,2.19,14.21,3.28,7.65,1.09,0,0,0,87.43,2.19,2.19,6.56,2.19,2.19
108-118,0,0,11.49,0,23.74,3.06,0.77,346.98,0.77,2.3,11.49,50.55,2.3,1.53,4.6,0.77,2.3,0,2.3,0,65.87,0,0.77,6.89,2053.55,0,1.53,7.66,0.77,5.36,0,0,1.53,0,59.75,0,1.53,8.43,1.53,1.53
120,0,0,9.8,0,29.4,1.96,0,280.25,0,7.84,17.64,39.2,1.96,0,0,1.96,0,0,0,0,72.51,1.96,3.92,15.68,1916.67,3.92,0,1.96,0,1.96,0,0,0,0,62.71,0,1.96,5.88,1.96,0
