stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,237.2,4823.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.02,0,0,0,0,0,0,0,0,0,0
  5-6,147.11,1808.24,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,18.39,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,47.32,55.2,0,73.6,0,0,0,141.95,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,1151.38,47.32,0,0,394.31,0,2.63,5.26,0,0,0,0,0,0,0,0,0
 10-12,3.15,47.2,0,44.06,0,15.73,0,110.14,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,3.15,1265.08,40.91,0,0,415.4,0,0,3.15,0,40.91,0,3.15,0,0,0,0,0
 14-21,0,0,0,4,42,9,0,26,0,0,6,1,0,0,0,0,0,0,1,0,20,0,0,16,389,12,1,1,14,0,2,1,39,2,1,28,107,0,1,0,1
 24-34,0,0,0,0,14.78,2.46,0,110.82,0,0,12.31,0.82,0,0.82,0,1.64,0.82,0.82,0.82,0.82,67.31,0,0.82,27.09,756.01,3.28,6.57,3.28,0,0.82,2.46,0,0,0,0,10.67,156.78,0,7.39,0,0
 36-46,0,0,0,0,1.61,1.61,0,178.05,0,3.22,18.53,0.81,0,0,0,0.81,0,0.81,0.81,0,66.87,0,2.42,20.14,504.35,1.61,1.61,4.83,0,0,2.42,0,0,0.81,0,0,99.9,0,1.61,0,0.81
 48-58,0,0,0,0,5.74,0,0,193.95,0.57,1.15,24.1,0.57,0,0,0.57,0.57,0.57,0.57,0,0.57,75.74,0,2.87,13.77,235.83,1.15,1.15,1.15,0,0,0.57,0,0,0,0.57,0,50.49,0,2.3,0,0.57
 60-70,0,0,0,0,4.91,0,0,154.1,0.98,1.96,24.54,0,0,0,0,0,0,0.98,0.98,0,58.89,0,3.93,4.91,166.86,1.96,1.96,0,0,0,0.98,0,0,0,0,0,11.78,0.98,1.96,0,0
 72-82,0,0,0,0,8.83,0.98,0,76.57,0,0.98,28.47,0.98,0,1.96,0,0,0,0,0.98,0,59.88,0,5.89,11.78,123.69,0.98,2.94,3.93,0,0,0,0,0,0,0.98,0,3.93,0,3.93,0,0
 84-94,0,0,0,0,5.31,2.12,1.06,77.53,0,3.19,22.3,1.06,0,0,3.19,0,0,1.06,0,0,44.61,0,4.25,8.5,88.15,0,1.06,6.37,0,0,1.06,0,0,0,0,0,2.12,0,2.12,2.12,0
 96-106,0,0,1.09,0,4.37,1.09,0,41.53,0,1.09,14.21,4.37,0,1.09,1.09,0,0,0,1.09,0,33.88,0,1.09,8.74,83.06,0,1.09,1.09,0,0,4.37,0,0,0,0,0,1.09,1.09,0,1.09,0
108-118,0,0,0,0,7.66,4.6,0,42.13,0.77,3.06,16.09,1.53,0,0,4.6,0.77,0.77,0.77,0,0,21.45,0.77,1.53,9.96,104.17,0,0,0.77,0,0,0.77,0,0,0.77,0,0,0.77,0,2.3,0,0
120,0,0,0,0,17.64,5.88,0,50.95,1.96,1.96,15.68,0,0,0,3.92,0,0,0,1.96,0,17.64,0,0,7.84,103.87,1.96,0,1.96,0,1.96,1.96,0,0,3.92,0,0,3.92,0,3.92,0,0
