stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,13.14,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,22.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,8,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0,0,10,4,0,2,0,0,638,0,4,0,0,0,4,0,0,19,0,62
 24-34,0,0,0,11.49,2.46,0,7.39,0,3.28,0,1.64,0,1.64,0,0,2.46,0,1.64,4.93,8.21,20.52,0.82,7.39,130.52,13.13,2.46,0.82,0,0,1389.71,0,0,0.82,0.82,2.46,22.98,0,0,66.49,0,234.76
 36-46,0,0,0,5.64,0,0,6.45,0.81,11.28,0,2.42,0,0,3.22,4.83,0.81,0,0,0,8.86,14.5,0,0.81,66.87,13.7,0,2.42,0,0,1554.14,0,0,0.81,0.81,0,13.7,0,0,13.7,0,203.83
 48-58,0,0,0.57,9.18,0,0,19.51,0,22.95,0,2.3,0.57,0,3.44,1.72,2.3,0,0,1.15,11.48,12.62,0,1.72,59.1,25.25,0,5.16,0,0,1318.6,0,0,0,0,0,8.03,0,0,1.72,0,184.77
 60-70,0,0,0.98,8.83,0,0,13.74,0,14.72,0,3.93,0,0,0.98,4.91,0,0,2.94,0,14.72,8.83,0.98,0.98,27.48,40.24,0,11.78,0,0,985.45,0,0,0,0,0,7.85,0,0,0,0,114.84
 72-82,0,0,2.94,33.38,0.98,0,17.67,0,22.58,0.98,10.8,0.98,0,2.94,8.83,3.93,0,4.91,0,35.34,9.82,0,0,33.38,42.21,0.98,42.21,0,0.98,982.64,0,0,0,0,0,0.98,2.94,0,0.98,0,102.09
 84-94,0,0,4.25,64.78,1.06,0,15.93,0,55.23,0,2.12,1.06,0,2.12,25.49,2.12,1.06,15.93,1.06,31.86,18.05,0,0,13.81,77.53,0,50.98,0,0,2541.46,0,0,1.06,1.06,0,1.06,6.37,0,2.12,0,91.34
 96-106,0,0,4.37,110.38,5.46,0,14.21,0,67.76,0,17.49,8.74,0,2.19,29.51,0,0,18.58,0,22.95,25.14,0,0,39.34,87.43,3.28,68.85,0,0,2127.77,0,0,0,0,0,0,4.37,2.19,2.19,1.09,95.08
108-118,0.77,0,12.26,98.81,0.77,0.77,12.26,0.77,99.58,1.53,17.62,4.6,0.77,3.06,43.66,0,0,22.98,0,21.45,43.66,0,0.77,26.04,111.06,0,65.11,0,0.77,2046.65,0,0,0.77,0,0,0,3.06,1.53,0,0,99.58
120,0,0,1.96,80.35,0,0,5.88,1.96,74.47,0,3.92,7.84,0,5.88,15.68,0,0,5.88,0,13.72,15.68,0,3.92,19.6,164.62,0,66.63,0,0,1164.11,0,0,1.96,0,0,0,0,0,0,0,29.4
