stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,1,0,0,0,6,0,88,113,0,0,0,0,0,0
 24-34,0,4.1,0,0,4.93,212.6,0.82,0,0.82,0,0,0.82,0,0,0,0,0,0,8.21,0,0,29.55,70.59,0,0,0.82,0,0,4.1,0,0,126.41,236.41,9.85,0,0,2.46,0,0
 36-46,0,0.81,0,0,11.28,426.2,0,1.61,4.03,0,0,3.22,0,0,0,0,0,0,7.25,0.81,0,22.56,82.98,0.81,0.81,1.61,0,0,7.25,0,0,94.26,24.98,17.72,0,0,0,0,0
 48-58,0,3.44,0,0,49.35,420.03,0.57,0.57,11.48,0.57,0,0.57,3.44,0,0,0,0.57,1.72,17.79,0,0.57,18.36,97.55,0.57,1.15,0,0,0,4.02,0,0,87.22,0,29.26,0,0.57,2.87,0,1.72
 60-70,0,1.96,1.96,0,28.46,299.36,2.94,0.98,4.91,0,0.98,0,0.98,0.98,1.96,0,0,0,5.89,0,0,23.56,62.82,0.98,0,0.98,0.98,0,1.96,0,0,69.69,0,8.83,0,0,0.98,0,0
 72-82,0,1.96,4.91,0,37.3,196.33,0.98,1.96,4.91,0.98,0,0,1.96,0.98,0.98,0,0,0,21.6,0.98,3.93,14.72,67.73,0,0,0.98,0,0,0.98,0,0,36.32,0,8.83,0.98,0,1.96,0.98,0.98
 84-94,0,5.31,2.12,0,25.49,334.54,2.12,0,6.37,1.06,0,0,2.12,0,0,1.06,1.06,1.06,23.36,0,0,20.18,43.54,1.06,0,2.12,0,0,15.93,0,0,70.09,0,4.25,1.06,1.06,4.25,3.19,0
 96-106,0,3.28,14.21,1.09,53.55,560.63,2.19,1.09,9.84,4.37,0,0,2.19,1.09,1.09,2.19,5.46,0,36.06,0,0,22.95,77.59,2.19,3.28,0,0,1.09,24.04,0,1.09,55.74,0,1.09,0,2.19,2.19,2.19,3.28
108-118,0,6.13,3.83,0.77,23.74,417.45,1.53,3.06,6.13,0,0,0,4.6,0,3.06,0.77,4.6,0,16.85,0,0.77,33.7,61.28,1.53,0,0.77,0,0.77,6.89,0,0,53.62,0,1.53,0,0,3.06,1.53,3.06
120,0,3.92,0,0,7.84,254.77,0,0,7.84,0,0,0,0,1.96,0,0,1.96,0,25.48,1.96,0,13.72,43.12,1.96,0,1.96,0,0,0,1.96,0,23.52,0,3.92,0,0,1.96,0,0
