stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,11,1,3,0,0,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,0,1,0,1,45,0,0,0,0
 24-34,0,0,0,0.82,17.24,5.75,3.28,0,0,1.64,0,0.82,0.82,0,6.57,0,0.82,0.82,9.03,0,0,4.1,0,0,4.93,0,0,0,74.7,0,0,11.49,0
 36-46,0.81,0,0,0.81,8.86,1.61,3.22,0,0,0,0,0,0,0.81,4.03,0,0.81,0.81,8.86,0,0,4.83,0,0,0.81,0,0,0,36.26,0,0,12.09,0
 48-58,0.57,0,0,0,3.44,0.57,1.72,0.57,0,0,0.57,0,0,1.15,2.3,0.57,0.57,1.15,2.87,0,0,6.89,0,0,0.57,0,0,0,5.74,0,0,23.53,0
 60-70,0,0,0,0,3.93,0,0.98,0,0,0.98,0,0,0,0.98,23.56,0,4.91,1.96,1.96,0,0,8.83,0,1.96,0,0,0.98,0,0,0,0.98,17.67,3.93
 72-82,0,0,0.98,0,4.91,2.94,0,0,0.98,0.98,2.94,0,0,3.93,47.12,0.98,7.85,5.89,5.89,0,0,10.8,0,10.8,0,0,0,0,1.96,0.98,4.91,38.28,13.74
 84-94,0,0,0,0,16.99,1.06,7.43,1.06,0,0,5.31,0,0,6.37,41.42,2.12,7.43,6.37,3.19,0,0,2.12,0,10.62,0,0,0,0,4.25,0,0,31.86,9.56
 96-106,0,0,0,0,13.11,0,7.65,0,0,0,2.19,0,0,3.28,50.27,2.19,1.09,1.09,10.93,0,0,6.56,0,24.04,1.09,0,0,0,0,0,3.28,40.44,21.86
108-118,0,0,0,0,16.09,0,3.83,0,0.77,0.77,5.36,0,2.3,6.89,56.68,0,7.66,1.53,3.83,0,0.77,7.66,0,22.21,0,0,0,0,0,0,1.53,20.68,13.02
120,0,0,0,0,7.84,0,1.96,0,0,0,0,0,3.92,3.92,54.87,0,3.92,9.8,7.84,0,0,1.96,0,25.48,0,0,1.96,0,1.96,0,1.96,35.28,7.84
